
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: MOriginal.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 41 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  26.04.2017 11:42:16.728

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl        , rlmax_w   , rlmx_w    , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.72223   , 800       , 830       , 839.063   , 846.641   , 0.820315  , 1.13282   , 0.683596  , 1.01563   , 28.5      , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.21067   , 95.25     , 0         , 0         , 0         , -13.5     
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.08334   , 800       , 830       , 839.063   , 846.836   , 0.820315  , 1.13282   , 0.683596  , 1.01563   , 28.5      , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.23467   , 95.25     , 0         , 0         , 0         , -13.5     
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.80556   , 800       , 830       , 839.063   , 846.016   , 0.800783  , 1.17188   , 0.664064  , 1.01563   , 28.5      , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.21334   , 95.25     , 0         , 0         , 0         , -13.5     
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.41667   , 800       , 830       , 839.063   , 845.352   , 0.800783  , 1.17188   , 0.664064  , 1.01563   , 29.25     , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.264     , 95.25     , 0         , 0         , 0         , -13.5     
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.41667   , 800       , 830       , 839.063   , 845.82    , 0.820315  , 1.17188   , 0.664064  , 1.05469   , 29.25     , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.27734   , 95.25     , 0         , 0         , 0         , -14.25    
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.86112   , 760       , 830       , 839.063   , 845.977   , 0.820315  , 1.17188   , 0.664064  , 1.05469   , 29.25     , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.24534   , 95.25     , 0         , 0         , 0         , -14.25    
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 6.72223   , 800       , 830       , 839.063   , 846.641   , 0.820315  , 1.13282   , 0.683596  , 1.01563   , 29.25     , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.248     , 95.25     , 0         , 0         , 0         , -14.25    
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 7.05556   , 800       , 830       , 839.063   , 846.016   , 0.820315  , 1.13282   , 0.683596  , 1.01563   , 29.25     , 115.664   , 113.203   , 425       , 26.25     , 26.25     , 2.25334   , 95.25     , 0         , 0         , 0         , -14.25    
