
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 41 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  12.11.2017 09:48:23.787

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl        , rlmax_w   , rlmx_w    , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad_8","EngineLoadCorrected","EngineLoadSpecified","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.19445   , 880       , 820       , 834.063   , 916.641   , 0.664064  , 1.40625   , 0.703127  , 1.40625   , 27.75     , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.10667   , 93.75     , 0         , 0         , 0         , -13.5     
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.11112   , 880       , 820       , 834.063   , 917.656   , 0.664064  , 1.36719   , 0.722658  , 1.36719   , 28.5      , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.112     , 93.75     , 0         , 0         , 0         , -13.5     
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.08334   , 880       , 820       , 834.063   , 918.984   , 0.664064  , 1.36719   , 0.722658  , 1.36719   , 27.75     , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.096     , 93.75     , 0         , 0         , 0         , -13.5     
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.16667   , 880       , 820       , 834.063   , 918.828   , 0.683596  , 1.32813   , 0.703127  , 1.32813   , 27.75     , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.09867   , 93.75     , 0         , 0         , 0         , -13.5     
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.05556   , 880       , 820       , 834.063   , 917.422   , 0.683596  , 1.32813   , 0.703127  , 1.32813   , 27.75     , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.06934   , 93.75     , 0         , 0         , 0         , -13.5     
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.19445   , 880       , 820       , 834.063   , 919.453   , 0.664064  , 1.28907   , 0.703127  , 1.32813   , 27.75     , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.06667   , 93.75     , 0         , 0         , 0         , -13.5     
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 6.83334   , 880       , 820       , 834.063   , 918.984   , 0.664064  , 1.28907   , 0.703127  , 1.32813   , 27.75     , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.03734   , 93.75     , 0         , 0         , 0         , -13.5     
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 7.50001   , 880       , 820       , 834.063   , 919.531   , 0.644533  , 1.28907   , 0.722658  , 1.32813   , 27.75     , 116.742   , 113.203   , 335       , 20.25     , 20.25     , 2.07734   , 93.75     , 0         , 0         , 0         , -13.5     
