  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , rpm       , g/s       , mbar      ,, mbar      ,, mbar      ,, V         , V         , V         , V         , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
TIME,IgnitionRetardCyl1,IgnitionRetardCyl5,IgnitionRetardCyl3,IgnitionRetardCyl2,SelectedGear,AirFuelRatioDesired,WastegateDutyCycle,EngineSpeed,MassAirFlow,BoostPressureDesired,,BaroPressure,,BoostPressureActual,,KnockVoltageCyl1,KnockVoltageCyl5,KnockVoltageCyl3,KnockVoltageCyl2,EngineLoad_8,EngineLoadCorrected,EngineLoadSpecified,EGTModelBeforeCat,IntakeAirTemperature,IntakeAirTemperature,FuelInjectorOnTime,CoolantTemperature,VehicleSpeed,ThrottlePlateAngle,AccelPedalPosition,IgnitionTimingAngleOverall
852.614,0,0,0,0,2,0.978029,0,2720,11.2222,820,-0.096319736,826.641,11.98943574,1003.13,2.559761158,2.65626,2.96876,2.42188,3.12501,14.25,187.102,195.773,475,22.5,22.5,1.60267,90.75,50.9766,2.35294,10.0709,10.5
852.664,0,0,0,0,2,0.978029,0,2760,11.3889,820,-0.096319736,826.641,11.98943574,993.672,2.422584218,2.65626,2.96876,2.42188,3.12501,14.25,187.172,195.773,475,22.5,22.5,1.688,90.75,50.9844,3.13726,26.2592,38.25
852.714,0,0,0,0,2,0.982423,0,2760,26.8334,900,1.046985811,827.813,12.00643419,971.094,2.078118968,2.34376,2.96876,2.26563,2.81251,20.25,187.078,195.773,475,22.5,23.25,2.368,90.75,50.9609,11.7647,35.7915,37.5
852.764,0,0,0,0,2,0.982423,0,2560,53.8334,1060,3.367593811,827.813,12.00643419,953.594,1.824302468,2.34376,2.96876,2.26563,2.81251,39.75,187.5,195.773,475,22.5,23.25,3.88,90.75,50.8516,22.3529,38.4893,27.75
852.814,0,0,0,0,3,0.985841,0,2320,50.25,1140,4.527897811,827.813,12.00643419,966.016,2.004468671,2.18751,2.50001,2.03126,2.65626,56.25,182.086,188.203,475,23.25,23.25,4.13334,90.75,51.1797,33.7255,40.2868,22.5
852.864,0,0,0,0,3,0.985841,0,2160,38.1389,1240,5.978277811,827.813,12.00643419,982.813,2.248089,2.18751,2.50001,2.03126,2.65626,61.5,176.484,180.563,485,23.25,23.25,4.21867,90.75,51.2656,36.0784,43.3447,21
852.914,0,0,0,0,3,0.980714,0,2280,39.8056,1480,9.476188264,826.641,11.98943574,986.484,2.318330903,2.42188,3.12501,2.18751,3.12501,60,178.195,183.094,485,23.25,23.25,3.92534,90.75,51.2422,34.5098,53.5972,21.75
852.964,0,0,0,0,3,0.980714,0,2200,38,1940,16.14793626,826.641,11.98943574,993.828,2.424846811,2.42188,3.12501,2.18751,3.12501,58.5,176.742,181.313,485,23.25,23.25,3.872,90.75,51.2422,34.1177,64.5685,21.75
853.014,0,0,0,0,3,0.964357,0,2280,38.5556,2100,18.46854426,826.641,11.98943574,994.609,2.436174278,2.57813,3.20313,2.34376,3.12501,58.5,178.078,182.719,485,23.25,23.25,3.87734,90.75,51.375,34.1177,72.8419,21.75
853.064,0,0,0,0,3,0.964357,0,2280,41.25,2320,21.65938026,826.641,11.98943574,996.094,2.457712421,2.57813,3.20313,2.34376,3.12501,59.25,179.25,184.383,490,23.25,23.25,4.09601,90.75,51.5313,30.5882,84.8919,21.75
853.114,0,0,0,0,3,0.944826,0,2240,39.8334,2340,21.94945626,826.641,11.98943574,1000.86,2.526837532,2.73438,3.20313,2.34376,3.43751,59.25,177.281,182.016,490,23.25,23.25,4.12534,90.75,51.7266,30.9804,94.4257,23.25
853.164,0,0,0,0,3,0.944826,0,2320,42.2778,2300,21.36930426,826.641,11.98943574,1001.88,2.541631408,2.73438,3.20313,2.34376,3.43751,60,180.328,185.742,490,23.25,23.25,3.8,90.75,51.7578,33.7255,99.9999,25.5
853.214,0,0,0,0,3,0.927736,0,2280,42.1667,2340,21.94945626,826.641,11.98943574,1007.34,2.620822156,3.12501,3.59376,2.57813,3.59376,61.5,178.477,183.516,490,23.25,23.25,4.14401,90.75,52.2031,32.1569,99.9999,25.5
853.264,0,0,0,0,3,0.927736,0,2320,43.6945,2320,21.65938026,826.641,11.98943574,1009.84,2.657081656,3.12501,3.59376,2.57813,3.59376,62.25,180.891,186.398,490,23.25,23.25,4.12534,90.75,52.3516,32.9412,99.9999,25.5
853.314,0,0,0,0,3,0.914064,0,2320,44.3056,2340,21.93245781,827.813,12.00643419,1015.47,2.721739597,3.67188,4.21876,3.43751,3.90626,63.75,180.68,186.141,490,23.25,23.25,4.24534,90.75,52.5547,32.9412,99.9999,24.75
853.364,0,0,0,0,3,0.914064,0,2320,45.1389,2320,21.64238181,827.813,12.00643419,1019.61,2.781785329,3.67188,4.21876,3.43751,3.90626,64.5,181.125,186.703,490,23.25,23.25,4.30401,90.75,52.8125,30.9804,99.9999,24.75
853.414,0,0,0,0,3,0.903322,0,2360,46.1111,2320,21.65938026,826.641,11.98943574,1023.2,2.850852424,3.82813,4.21876,3.90626,4.37501,64.5,182.461,188.344,490,23.25,23.25,4.42667,90.75,52.9297,30.5882,99.9999,24
853.464,0,0,0,0,3,0.903322,0,2320,47.8334,2340,21.94945626,826.641,11.98943574,1027.34,2.910898156,3.82813,4.21876,3.90626,4.37501,66,181.711,187.43,495,23.25,23.25,4.40001,90.75,53.2422,32.1569,99.9999,23.25
853.514,0,0,0,0,3,0.894533,0,2400,48.3611,2320,21.65938026,826.641,11.98943574,1032.42,2.98457746,3.75001,4.53126,4.06251,4.06251,67.5,183.844,190.055,495,23.25,23.25,4.51201,90.75,53.5313,32.1569,99.9999,24
853.564,0,0,0,0,3,0.894533,0,2360,47.1667,2360,22.23953226,826.641,11.98943574,1038.2,3.068409424,3.75001,4.53126,4.06251,4.06251,67.5,182.766,188.719,495,23.25,23.25,4.59201,90.75,53.6016,31.7647,99.9999,24
853.614,0,0,0,0,3,0.887453,0,2400,49.0278,2340,21.94945626,826.641,11.98943574,1041.41,3.114966622,4.68751,4.84376,4.84376,4.53126,68.25,184.406,190.734,495,23.25,23.25,4.52534,90.75,54.0313,34.902,99.9999,24
853.664,0,0,0,0,3,0.887453,0,2400,49.5278,2360,22.23953226,826.641,11.98943574,1050.08,3.240714568,4.68751,5.62501,5.31251,4.84376,69.75,184.57,190.945,495,23.25,23.25,4.60001,90.75,54.2891,34.902,99.9999,23.25
853.714,0,0,0,0,3,0.880128,0,2400,49.9723,2360,22.23953226,826.641,11.98943574,1053.98,3.297279388,4.68751,5.62501,5.31251,4.84376,69.75,184.664,191.063,495,23.25,23.25,4.63201,90.75,54.5625,34.902,99.9999,23.25
853.764,0,0,0,0,3,0.880128,0,2440,50.9723,2360,22.23953226,826.641,11.98943574,1059.14,3.372118996,4.68751,5.62501,5.31251,4.84376,70.5,186.141,192.891,495,23.25,23.25,4.64001,90.75,54.75,34.902,99.9999,22.5
853.814,0,0,0,0,3,0.874513,0,2440,51.9445,2380,22.52960826,826.641,11.98943574,1064.53,3.450294478,5.00001,5.93752,5.62501,5.00001,72,185.742,192.422,495,23.25,23.25,4.78401,90.75,55.0313,34.902,99.9999,22.5
853.864,0,0,0,0,3,0.874513,0,2440,51.3334,2380,22.52960826,826.641,11.98943574,1067.81,3.497866942,5.00001,5.93752,5.62501,5.00001,71.25,187.219,194.25,500,23.25,23.25,4.68801,90.75,55.2969,34.902,99.9999,22.5
853.914,0,0,0,0,3,0.86841,0,2480,51.9445,2400,22.81968426,826.641,11.98943574,1074.77,3.59881339,5.15626,6.25002,5.31251,5.00001,72,187.523,194.648,500,23.25,23.25,4.74401,90.75,55.5313,34.902,99.9999,22.5
853.964,0,0,0,0,3,0.86841,0,2480,54.9445,2400,22.81968426,826.641,11.98943574,1078.91,3.658859122,5.15626,6.25002,5.31251,5.00001,72.75,187.805,194.977,500,23.25,23.25,4.76801,90.75,55.8594,35.6863,99.9999,22.5
854.014,0,0,0,0,3,0.863527,0,2480,54.9167,2400,22.81968426,826.641,11.98943574,1081.17,3.69163771,4.84376,6.25002,5.31251,5.31251,73.5,187.805,194.977,500,23.25,23.25,4.82134,90.75,56.1641,35.2941,99.9999,21.75
854.064,0,0,0,0,3,0.863527,0,2480,54.7778,2420,23.10976026,826.641,11.98943574,1092.11,3.850309282,4.84376,6.25002,5.31251,5.31251,73.5,188.414,195.773,505,23.25,23.25,4.85601,90.75,56.4063,35.2941,99.9999,21.75
854.114,0,0,0,0,3,0.859376,0,2520,55.5,2420,23.10976026,826.641,11.98943574,1093.36,3.868439032,4.84376,6.25002,5.31251,5.62501,73.5,188.32,195.773,505,23.25,23.25,4.84801,90.75,56.8047,35.2941,99.9999,22.5
854.164,0,0,0,0,3,0.859376,0,2520,55.4167,2420,23.10976026,826.641,11.98943574,1100.78,3.976057228,4.84376,6.25002,5.31251,5.62501,74.25,188.273,195.773,505,23.25,23.25,4.87467,90.75,56.9766,35.2941,99.9999,22.5
854.214,0,0,0,0,3,0.856447,0,2520,57.1112,2420,23.09276181,827.813,12.00643419,1105.08,4.021425115,5.15626,6.40627,5.31251,5.62501,75,188.25,195.773,505,23.25,23.25,4.91734,90.75,57.4375,35.6863,99.9999,21.75
854.264,0,0,0,0,3,0.856447,0,2560,57.6945,2420,23.09276181,827.813,12.00643419,1110.08,4.093944115,5.15626,6.40627,5.31251,5.62501,75.75,188.156,195.773,505,23.25,23.25,4.95467,90.75,57.6094,35.6863,99.9999,21.75
854.314,0,0,0,0,3,0.852296,0,2560,57.25,2400,22.81968426,826.641,11.98943574,1118.75,4.236690514,4.84376,6.40627,5.15626,5.78126,75.75,188.18,195.773,505,23.25,23.25,4.96534,90.75,58.0078,35.6863,99.9999,21.75
854.364,0,0,0,0,3,0.852296,0,2600,56.6945,2400,22.81968426,826.641,11.98943574,1122.5,4.291079764,4.84376,6.40627,5.15626,5.78126,75.75,188.063,195.773,505,23.25,23.25,4.95201,90.75,58.2344,35.6863,99.9999,21.75
