
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 44 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  18.11.2017 09:16:36.972

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mshfm_w   , nmot      , plsol     , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , g/s       , rpm       , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","MassAirFlow","EngineSpeed","BoostPressureDesired","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall"
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.75001   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.683596  , 0.507814  , 0.781252  , 33.9609   , 144.328   , 133.734   , 24.4922   , 225       , 12        , 12        , 2.34934   , 22.5      , 0         , 1.17647   , 0         , -9        
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.50001   , 880       , 820       , 830.313   , 913.203   , 0.527345  , 0.683596  , 0.507814  , 0.761721  , 33.7266   , 144.328   , 133.734   , 24.6328   , 225       , 12        , 12        , 2.29334   , 23.25     , 0         , 1.17647   , 0         , -9        
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.11112   , 880       , 820       , 830.313   , 911.172   , 0.527345  , 0.683596  , 0.507814  , 0.761721  , 33.9375   , 144.328   , 133.734   , 24.4219   , 225       , 12        , 12        , 2.432     , 23.25     , 0         , 1.17647   , 0         , -9        
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.72223   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.664064  , 0.488283  , 0.781252  , 33.9609   , 144.328   , 133.734   , 24.4219   , 225       , 12        , 12        , 2.352     , 23.25     , 0         , 1.17647   , 0         , -9        
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.75001   , 840       , 820       , 830.313   , 912.188   , 0.527345  , 0.664064  , 0.488283  , 0.781252  , 33.9375   , 144.328   , 133.734   , 25.1016   , 225       , 12        , 12        , 2.34934   , 23.25     , 0         , 1.17647   , 0         , -8.25     
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.58334   , 880       , 820       , 830.313   , 911.094   , 0.507814  , 0.664064  , 0.507814  , 0.761721  , 33.7969   , 144.328   , 133.734   , 24.6328   , 225       , 12        , 12        , 2.29867   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.94445   , 880       , 820       , 830.313   , 911.094   , 0.507814  , 0.664064  , 0.507814  , 0.761721  , 33.9844   , 144.328   , 133.734   , 24.5391   , 225       , 12        , 12        , 2.38134   , 23.25     , 0         , 1.17647   , 0         , -9        
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.94445   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.644533  , 0.507814  , 0.761721  , 34.0781   , 144.328   , 133.734   , 24.75     , 225       , 12        , 12        , 2.38134   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.83334   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.644533  , 0.507814  , 0.761721  , 34.1484   , 144.328   , 133.734   , 24.6328   , 225       , 12        , 12        , 2.38667   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.61112   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.644533  , 0.507814  , 0.781252  , 33.9375   , 144.328   , 133.734   , 24.3281   , 225       , 12        , 12        , 2.304     , 23.25     , 0         , 1.17647   , 0         , -9.75     
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.1389    , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.644533  , 0.507814  , 0.781252  , 34.125    , 144.328   , 133.734   , 24.4922   , 225       , 12        , 12        , 2.42934   , 23.25     , 0         , 1.17647   , 0         , -9        
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.08334   , 880       , 820       , 830.313   , 911.641   , 0.527345  , 0.664064  , 0.527345  , 0.761721  , 34.3828   , 144.328   , 133.734   , 24.4922   , 225       , 12        , 12        , 2.46934   , 23.25     , 0         , 1.17647   , 0         , -9        
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.58334   , 840       , 820       , 830.313   , 911.094   , 0.527345  , 0.664064  , 0.527345  , 0.761721  , 34.2422   , 144.328   , 133.734   , 24.8203   , 225       , 12        , 12        , 2.37334   , 23.25     , 0         , 1.17647   , 0         , -9        
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.75001   , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.664064  , 0.507814  , 0.781252  , 34.2188   , 144.328   , 133.734   , 24.9375   , 225       , 12        , 12        , 2.38667   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.80556   , 880       , 820       , 830.313   , 911.328   , 0.546876  , 0.664064  , 0.507814  , 0.781252  , 34.2891   , 144.328   , 133.734   , 24.6797   , 225       , 12        , 12        , 2.42934   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    0.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.8889    , 880       , 820       , 830.313   , 911.328   , 0.546876  , 0.664064  , 0.527345  , 0.781252  , 34.1953   , 144.328   , 133.734   , 24.5156   , 225       , 12        , 12        , 2.38934   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    0.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.80556   , 880       , 820       , 830.313   , 911.094   , 0.546876  , 0.664064  , 0.527345  , 0.781252  , 34.1719   , 144.328   , 133.734   , 24.4219   , 225       , 12        , 12        , 2.38134   , 23.25     , 0         , 1.17647   , 0         , -10.5     
    0.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.83334   , 840       , 820       , 830.313   , 911.094   , 0.527345  , 0.664064  , 0.527345  , 0.800783  , 34.1953   , 144.328   , 133.734   , 24.5391   , 230       , 12        , 12        , 2.42667   , 23.25     , 0         , 1.17647   , 0         , -9        
    0.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.91667   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.664064  , 0.527345  , 0.800783  , 34.2891   , 144.328   , 133.734   , 25.0078   , 230       , 12        , 12        , 2.432     , 23.25     , 0         , 1.17647   , 0         , -9        
    0.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.80556   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.683596  , 0.546876  , 0.781252  , 34.2656   , 144.328   , 133.734   , 24.5625   , 230       , 12        , 12        , 2.39467   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    1.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.02778   , 880       , 820       , 830.313   , 911.094   , 0.527345  , 0.683596  , 0.546876  , 0.781252  , 34.3594   , 144.328   , 133.734   , 24.3281   , 230       , 12        , 12        , 2.48267   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    1.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.75001   , 880       , 820       , 830.313   , 913.203   , 0.507814  , 0.703127  , 0.527345  , 0.800783  , 34.2656   , 144.328   , 133.734   , 24.2578   , 230       , 12        , 12        , 2.4       , 23.25     , 0         , 1.17647   , 0         , -9.75     
    1.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.50001   , 880       , 820       , 830.313   , 912.188   , 0.507814  , 0.703127  , 0.527345  , 0.800783  , 33.9375   , 144.328   , 133.734   , 24.4688   , 230       , 12        , 12        , 2.34934   , 23.25     , 0         , 1.17647   , 0         , -9        
    1.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.75001   , 880       , 820       , 830.313   , 911.094   , 0.507814  , 0.722658  , 0.527345  , 0.800783  , 33.9141   , 144.328   , 133.734   , 24.5625   , 230       , 12        , 12        , 2.36      , 23.25     , 0         , 1.17647   , 0         , -9.75     
    1.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.3889    , 880       , 820       , 830.313   , 911.094   , 0.507814  , 0.722658  , 0.527345  , 0.800783  , 33.6797   , 144.328   , 133.734   , 24.8672   , 230       , 12        , 12        , 2.30934   , 23.25     , 0         , 1.17647   , 0         , -9        
    1.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.69445   , 880       , 820       , 830.313   , 913.203   , 0.488283  , 0.722658  , 0.507814  , 0.781252  , 33.6094   , 144.328   , 133.734   , 25.3359   , 225       , 12        , 12        , 2.312     , 23.25     , 0         , 1.17647   , 0         , -7.5      
    1.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.19445   , 880       , 820       , 830.313   , 911.172   , 0.488283  , 0.722658  , 0.507814  , 0.781252  , 34.0781   , 144.328   , 133.734   , 24.7969   , 225       , 12        , 12        , 2.48534   , 23.25     , 0         , 1.17647   , 0         , -9.75     
    1.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.8889    , 880       , 820       , 830.313   , 911.094   , 0.488283  , 0.703127  , 0.507814  , 0.800783  , 34.2891   , 144.328   , 133.734   , 24.5156   , 225       , 12        , 12        , 2.40534   , 23.25     , 0         , 1.17647   , 0         , -10.5     
