
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 62 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  23.11.2017 08:06:33.547

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , ldtvm     , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.75037   , 51.1719   , 0         , 13.5278   , 1240      , 820       , 829.453   , 476.016   , 382.5     , 829.063   , 852.656   , 0.507814  , 0.585939  , 0.44922   , 0.566408  , 36.2813   , 118.242   , 120.117   , 28.1719   , 195       , 12.75     , 12.75     , 2.53334   , 13.5      , 0         , 3.92157   , 0         , -2.25     , 17.8986   , 56.8131   , 9.64661   
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.75342   , 51.1719   , 0         , 13.75     , 1240      , 820       , 829.453   , 479.063   , 386.563   , 829.063   , 852.813   , 0.507814  , 0.585939  , 0.44922   , 0.566408  , 36.5391   , 118.266   , 120.141   , 28.5234   , 195       , 12.75     , 12.75     , 2.6       , 13.5      , 0         , 3.92157   , 0         , -1.5      , 17.9657   , 56.2073   , 10.0281   
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.64356   , 51.1719   , 0         , 13.3333   , 1240      , 820       , 829.453   , 479.297   , 381.641   , 830.313   , 852.813   , 0.488283  , 0.566408  , 0.468751  , 0.585939  , 36.5859   , 118.594   , 120.492   , 28.125    , 195       , 12.75     , 12.75     , 2.544     , 13.5      , 0         , 3.92157   , 0         , -3        , 18.0817   , 56.2836   , 9.53675   
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.62525   , 51.1719   , 0         , 13.3333   , 1240      , 820       , 829.453   , 476.172   , 378.75    , 830.313   , 852.813   , 0.488283  , 0.566408  , 0.468751  , 0.585939  , 36.3516   , 118.594   , 120.492   , 27.9141   , 195       , 12.75     , 12.75     , 2.544     , 13.5      , 0         , 3.92157   , 0         , -2.25     , 17.9382   , 56.5216   , 9.75342   
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.66492   , 51.1719   , 0         , 13.5556   , 1240      , 820       , 829.453   , 477.344   , 379.688   , 829.063   , 852.813   , 0.468751  , 0.585939  , 0.44922   , 0.585939  , 36.4453   , 118.758   , 120.656   , 27.9844   , 195       , 12.75     , 12.75     , 2.55467   , 13.5      , 0         , 3.92157   , 0         , -2.25     , 17.9825   , 56.4194   , 9.73511   
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.69849   , 51.1719   , 0         , 13.5278   , 1240      , 820       , 829.453   , 477.344   , 380.781   , 829.063   , 852.813   , 0.468751  , 0.585939  , 0.44922   , 0.585939  , 36.4219   , 118.57    , 120.445   , 28.0547   , 195       , 12.75     , 12.75     , 2.552     , 13.5      , 0         , 3.92157   , 0         , -2.25     , 17.9443   , 56.4621   , 9.55201   
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.59473   , 51.1719   , 0         , 13.3611   , 1280      , 820       , 829.453   , 475.781   , 377.734   , 829.063   , 852.813   , 0.488283  , 0.566408  , 0.429689  , 0.60547   , 36.3281   , 118.922   , 120.82    , 27.8203   , 195       , 12.75     , 12.75     , 2.544     , 13.5      , 0         , 3.92157   , 0         , -3        , 17.9505   , 56.4972   , 9.22852   
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.55506   , 51.1719   , 0         , 13.4167   , 1240      , 820       , 829.453   , 474.219   , 376.641   , 829.063   , 852.813   , 0.488283  , 0.566408  , 0.429689  , 0.60547   , 36.2109   , 119.203   , 121.102   , 27.75     , 195       , 12.75     , 12.75     , 2.54134   , 13.5      , 0         , 3.92157   , 0         , -2.25     , 17.8528   , 56.6636   , 9.3628    
    0.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.57947   , 51.1719   , 0         , 13.0278   , 1240      , 820       , 829.453   , 470.313   , 377.109   , 829.063   , 852.813   , 0.468751  , 0.585939  , 0.429689  , 0.625002  , 35.8828   , 119.227   , 121.125   , 27.7969   , 195       , 12.75     , 12.75     , 2.52267   , 13.5      , 0         , 3.92157   , 0         , -1.5      , 17.7216   , 56.781    , 9.46351   
    0.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.54896   , 51.1719   , 0         , 13.75     , 1240      , 820       , 829.453   , 471.875   , 376.797   , 829.063   , 851.719   , 0.468751  , 0.585939  , 0.429689  , 0.625002  , 36        , 119.016   , 120.914   , 27.75     , 195       , 12.75     , 12.75     , 2.54134   , 13.5      , 0         , 3.92157   , 0         , -1.5      , 17.7628   , 56.749    , 9.41773   
    0.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.40858   , 50.7172   , 0         , 13.1945   , 1280      , 820       , 829.453   , 473.281   , 371.406   , 829.063   , 852.813   , 0.468751  , 0.566408  , 0.410157  , 0.60547   , 36.1641   , 119.695   , 121.594   , 27.3281   , 195       , 12.75     , 12.75     , 2.53334   , 13.5      , 0         , 3.92157   , 0         , -3.75     , 17.8345   , 56.7109   , 8.72498   
    0.550, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.35975   , 50.2152   , 0         , 13.25     , 1280      , 820       , 829.375   , 468.203   , 369.766   , 829.063   , 852.813   , 0.468751  , 0.566408  , 0.410157  , 0.60547   , 35.7188   , 119.766   , 121.664   , 27.1875   , 195       , 12.75     , 12.75     , 2.48      , 13.5      , 0         , 3.92157   , 0         , -3.75     , 17.7033   , 57.1183   , 8.44422   
    0.600, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.26209   , 49.7803   , 0         , 13.75     , 1280      , 820       , 829.375   , 468.594   , 367.266   , 829.063   , 852.813   , 0.468751  , 0.585939  , 0.429689  , 0.585939  , 35.7891   , 120.305   , 122.227   , 27        , 195       , 12.75     , 12.75     , 2.536     , 13.5      , 0         , 3.92157   , 0         , -3        , 17.6102   , 57.2861   , 8.74329   
    0.650, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.38721   , 51.1719   , 0         , 13.5      , 1280      , 820       , 829.375   , 469.766   , 372.813   , 829.063   , 852.813   , 0.468751  , 0.585939  , 0.429689  , 0.585939  , 35.8125   , 118.945   , 120.844   , 27.3984   , 195       , 12.75     , 12.75     , 2.53067   , 13.5      , 0         , 3.92157   , 0         , -2.25     , 17.6773   , 57.1473   , 9.06678   
    0.700, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.26514   , 50.5082   , 0         , 13.6389   , 1280      , 820       , 829.375   , 471.328   , 370.234   , 829.063   , 852.813   , 0.44922   , 0.566408  , 0.429689  , 0.566408  , 35.9766   , 119.508   , 121.406   , 27.2109   , 195       , 12.75     , 12.75     , 2.544     , 14.25     , 0         , 3.92157   , 0         , -3.75     , 17.7414   , 56.7368   , 8.62733   
    0.750, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.27735   , 50.0336   , 0         , 13.3611   , 1280      , 820       , 829.375   , 472.656   , 369.531   , 829.063   , 850.703   , 0.44922   , 0.566408  , 0.429689  , 0.566408  , 36.0938   , 119.25    , 121.148   , 27.1406   , 195       , 12.75     , 12.75     , 2.54667   , 14.25     , 0         , 3.92157   , 0         , -3.75     , 17.7765   , 56.9184   , 8.70362   
    0.800, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.24073   , 51.1719   , 0         , 13.2222   , 1240      , 820       , 829.375   , 470.859   , 368.672   , 829.063   , 852.656   , 0.44922   , 0.566408  , 0.429689  , 0.566408  , 35.9297   , 119.344   , 121.242   , 27.0703   , 200       , 12.75     , 12.75     , 2.52      , 14.25     , 0         , 3.52941   , 0         , -3        , 17.7261   , 56.8406   , 8.98133   
    0.850, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.15223   , 50.9369   , 0         , 13.5833   , 1280      , 820       , 829.375   , 472.422   , 366.563   , 829.063   , 852.813   , 0.429689  , 0.60547   , 0.44922   , 0.585939  , 36.0703   , 119.414   , 121.313   , 26.8828   , 200       , 12.75     , 12.75     , 2.54934   , 14.25     , 0         , 3.92157   , 0         , -3        , 17.7765   , 56.8741   , 8.79822   
    0.900, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.1919    , 51.0529   , 0         , 12.8889   , 1280      , 820       , 829.375   , 471.094   , 367.656   , 829.063   , 852.813   , 0.429689  , 0.60547   , 0.44922   , 0.585939  , 35.9531   , 119.133   , 121.031   , 26.9766   , 200       , 12.75     , 12.75     , 2.49334   , 14.25     , 0         , 3.92157   , 0         , -3        , 17.8162   , 56.8177   , 8.84705   
    0.950, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.00269   , 50.5082   , 0         , 13.2778   , 1280      , 820       , 829.375   , 467.5     , 361.328   , 830.313   , 852.813   , 0.44922   , 0.585939  , 0.468751  , 0.566408  , 35.6719   , 119.93    , 121.828   , 26.4609   , 200       , 12.75     , 12.75     , 2.48      , 14.25     , 0         , 3.52941   , 0         , -4.5      , 17.6102   , 56.9367   , 8.27332   
    1.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.06068   , 51.1719   , 0         , 13.5556   , 1240      , 820       , 829.375   , 467.813   , 364.766   , 830.313   , 853.047   , 0.44922   , 0.585939  , 0.468751  , 0.566408  , 35.6484   , 119.086   , 120.984   , 26.7188   , 200       , 12.75     , 12.75     , 2.536     , 14.25     , 0         , 3.52941   , 0         , -3        , 17.5888   , 57.016    , 8.92945   
    1.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.94776   , 50.7172   , 0         , 12.9445   , 1280      , 820       , 829.453   , 464.141   , 360.703   , 830.313   , 852.891   , 0.468751  , 0.60547   , 0.44922   , 0.585939  , 35.3438   , 119.297   , 121.195   , 26.3672   , 200       , 12.75     , 12.75     , 2.46667   , 14.25     , 0         , 3.52941   , 0         , -4.5      , 17.4149   , 56.7582   , 8.23975   
    1.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.03321   , 51.1719   , 0         , 13.0278   , 1280      , 820       , 829.453   , 462.422   , 364.375   , 830.313   , 852.891   , 0.468751  , 0.60547   , 0.44922   , 0.585939  , 35.1563   , 118.711   , 120.609   , 26.6484   , 200       , 12.75     , 12.75     , 2.47467   , 14.25     , 0         , 3.52941   , 0         , -4.5      , 17.3569   , 56.691    , 8.16651   
    1.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.77686   , 50.6119   , 0         , 13.3333   , 1280      , 820       , 829.453   , 463.828   , 354.375   , 829.063   , 852.891   , 0.468751  , 0.585939  , 0.468751  , 0.60547   , 35.3438   , 119.836   , 121.734   , 25.8516   , 200       , 12.75     , 12.75     , 2.472     , 14.25     , 0         , 3.52941   , 0         , -5.25     , 17.3844   , 56.6864   , 7.87049   
    1.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.76465   , 51.1719   , 0         , 13.3611   , 1240      , 820       , 829.453   , 464.922   , 356.641   , 829.063   , 852.891   , 0.468751  , 0.585939  , 0.468751  , 0.60547   , 35.3906   , 118.969   , 120.867   , 25.9922   , 200       , 12.75     , 12.75     , 2.51467   , 14.25     , 0         , 3.52941   , 0         , -3.75     , 17.4072   , 56.955    , 8.51136   
    1.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.93555   , 51.1719   , 0         , 12.9445   , 1240      , 820       , 829.375   , 465.781   , 363.672   , 829.063   , 852.891   , 0.488283  , 0.585939  , 0.488283  , 0.566408  , 35.4141   , 118.383   , 120.258   , 26.5547   , 200       , 12.75     , 12.75     , 2.53067   , 14.25     , 0         , 3.52941   , 0         , -2.25     , 17.4271   , 56.5033   , 9.03321   
    1.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.98438   , 51.1719   , 0         , 12.8333   , 1240      , 820       , 829.375   , 464.297   , 370       , 829.063   , 850.781   , 0.488283  , 0.585939  , 0.488283  , 0.566408  , 35.25     , 118.031   , 119.906   , 27.0703   , 200       , 12.75     , 12.75     , 2.48267   , 14.25     , 0         , 3.52941   , 0         , -3        , 17.3569   , 56.1905   , 8.62427   
    1.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.87147   , 51.1719   , 0         , 12.8611   , 1240      , 820       , 829.375   , 459.141   , 361.016   , 829.063   , 852.734   , 0.468751  , 0.60547   , 0.468751  , 0.585939  , 34.8281   , 118.523   , 120.398   , 26.3203   , 200       , 12.75     , 12.75     , 2.40267   , 14.25     , 0         , 3.52941   , 0         , -3        , 17.125    , 56.3172   , 8.61817   
    1.400, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.93555   , 51.1719   , 0         , 12.7778   , 1240      , 820       , 829.375   , 459.688   , 362.969   , 829.063   , 852.813   , 0.468751  , 0.60547   , 0.468751  , 0.585939  , 34.875    , 118.313   , 120.188   , 26.4844   , 200       , 12.75     , 12.75     , 2.39734   , 14.25     , 0         , 3.52941   , 0         , -2.25     , 17.1662   , 56.2699   , 8.93555   
    1.450, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.83179   , 51.1719   , 0         , 12.9722   , 1240      , 820       , 829.375   , 459.297   , 359.766   , 829.063   , 852.813   , 0.44922   , 0.625002  , 0.488283  , 0.585939  , 34.8516   , 118.594   , 120.469   , 26.2266   , 200       , 12.75     , 12.75     , 2.40267   , 14.25     , 0         , 3.52941   , 0         , -3        , 17.1265   , 56.3172   , 8.60291   
    1.500, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.86841   , 51.1719   , 0         , 13.0556   , 1240      , 820       , 829.375   , 459.141   , 359.922   , 829.063   , 852.813   , 0.44922   , 0.625002  , 0.488283  , 0.585939  , 34.875    , 118.969   , 120.867   , 26.2734   , 200       , 12.75     , 12.75     , 2.38934   , 14.25     , 0         , 3.52941   , 0         , -3.75     , 17.1814   , 56.5094   , 8.26417   
