
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 65 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  03.12.2017 10:36:56.252

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.96094   , 20.3644   , 17.2241   , 11.4722   , 2080      , 820       , 827.813   , 272.422   , 265       , 826.641   , 848.516   , 1.44532   , 1.875     , 1.32813   , 1.95313   , 18.0938   , 90.1172   , 91.5469   , 17.5078   , 470       , 20.25     , 20.25     , 1.69867   , 87.75     , 86.7578   , 2.35294   , 19.2447   , 33        , 10.2722   , 47.2061   , 10.2722   
    0.050, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.93348   , 20.2591   , 17.1997   , 10.5833   , 2080      , 820       , 827.813   , 272.813   , 264.766   , 827.813   , 848.516   , 1.40625   , 1.95313   , 1.36719   , 1.875     , 18.1406   , 90.1875   , 91.6172   , 17.4844   , 470       , 20.25     , 20.25     , 1.67467   , 87.75     , 86.7422   , 1.96079   , 19.2447   , 33.75     , 10.3684   , 47.107    , 10.3668   
    0.100, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.94569   , 20.1676   , 17.2028   , 10.4167   , 2080      , 820       , 827.813   , 265.859   , 264.141   , 827.813   , 848.516   , 1.40625   , 1.95313   , 1.36719   , 1.875     , 17.5547   , 90.1641   , 91.5938   , 17.4375   , 470       , 20.25     , 20.25     , 1.65867   , 87.75     , 86.7266   , 1.96079   , 19.2447   , 33        , 10.0754   , 47.1573   , 10.0739   
    0.150, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.94874   , 20.0882   , 17.215    , 10.5556   , 2080      , 820       , 827.813   , 266.328   , 265.547   , 827.813   , 847.422   , 1.40625   , 1.79688   , 1.40625   , 1.875     , 17.6016   , 90.1406   , 91.5703   , 17.5547   , 470       , 20.25     , 20.25     , 1.664     , 87.75     , 86.7109   , 1.96079   , 19.2447   , 33        , 9.99146   , 47.1543   , 9.99146   
    0.200, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.93958   , 20.018    , 17.2089   , 10.1389   , 2080      , 820       , 827.813   , 263.906   , 265.547   , 827.813   , 848.516   , 1.40625   , 1.79688   , 1.40625   , 1.875     , 17.4141   , 90.1641   , 91.5938   , 17.5547   , 470       , 20.25     , 20.25     , 1.64267   , 87.75     , 86.6953   , 1.96079   , 19.2447   , 33        , 9.91517   , 47.11     , 9.91517   
    0.250, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.96094   , 19.9585   , 17.2272   , 10.9445   , 2080      , 820       , 827.813   , 264.375   , 265.859   , 827.813   , 848.516   , 1.36719   , 1.79688   , 1.32813   , 1.95313   , 17.4375   , 90.1172   , 91.5469   , 17.5781   , 470       , 20.25     , 20.25     , 1.67467   , 87.75     , 86.6797   , 1.96079   , 19.2447   , 33        , 9.85718   , 47.1497   , 9.85718   
    0.300, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.92738   , 19.9066   , 17.1814   , 10.7778   , 2080      , 820       , 827.813   , 264.844   , 265.313   , 827.813   , 848.516   , 1.36719   , 1.79688   , 1.32813   , 1.95313   , 17.4844   , 90.2344   , 91.6641   , 17.5313   , 470       , 20.25     , 20.25     , 1.69334   , 87.75     , 86.6563   , 1.96079   , 19.2447   , 33        , 9.87855   , 47.11     , 9.87855   
    0.350, 0         , 0         , 0         , 0         , 6         , 0.999757  , 0         , 0         , 0         , 9.96094   , 19.8609   , 17.215    , 10.4722   , 2080      , 820       , 827.813   , 264.766   , 265.859   , 827.813   , 848.516   , 1.36719   , 1.95313   , 1.36719   , 2.03126   , 17.4844   , 90.1406   , 91.5703   , 17.5781   , 470       , 20.25     , 20.25     , 1.688     , 87.75     , 86.6484   , 1.96079   , 19.2447   , 33.75     , 9.91517   , 47.2031   , 9.91517   
