
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 67 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  11.12.2017 18:20:26.649

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.90003   , 79.1764   , 0         , 10.6111   , 1120      , 820       , 836.25    , 446.641   , 328.594   , 836.484   , 857.344   , 0.585939  , 0.703127  , 0.527345  , 0.664064  , 32.7656   , 72.1406   , 73.2891   , 22.6641   , 220       , 16.5      , 16.5      , 2.29334   , 23.25     , 0         , 0.392639  , 2.35294   , 0         , -6.75     , 15.9851   , 35.6003   , 6.97632   
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.96717   , 79.5823   , 0         , 10.6667   , 1120      , 820       , 836.25    , 446.797   , 330.625   , 836.484   , 858.281   , 0.566408  , 0.683596  , 0.546876  , 0.644533  , 32.7422   , 72.1406   , 73.2891   , 22.8047   , 220       , 16.5      , 16.5      , 2.29867   , 23.25     , 0         , 0.395874  , 2.35294   , 0         , -6        , 15.979    , 35.5759   , 7.26319   
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.00989   , 79.5823   , 0         , 10.4722   , 1120      , 820       , 836.25    , 444.609   , 332.813   , 836.484   , 860.703   , 0.566408  , 0.683596  , 0.546876  , 0.644533  , 32.5547   , 72.1406   , 73.2891   , 22.9922   , 220       , 16.5      , 16.5      , 2.24534   , 23.25     , 0         , 0.39795   , 2.35294   , 0         , -7.5      , 15.9348   , 35.5789   , 6.75049   
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.95496   , 79.3442   , 0         , 10.75     , 1120      , 820       , 836.25    , 443.75    , 330.313   , 836.484   , 861.016   , 0.585939  , 0.664064  , 0.527345  , 0.625002  , 32.4844   , 72.1406   , 73.2891   , 22.7813   , 220       , 16.5      , 16.5      , 2.27734   , 23.25     , 0         , 0.394959  , 2.35294   , 0         , -6.75     , 15.8447   , 35.5789   , 6.94581   
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 6.95801   , 85.5469   , 0         , 10.75     , 1080      , 820       , 836.25    , 445.313   , 330.938   , 836.484   , 857.5     , 0.585939  , 0.664064  , 0.527345  , 0.625002  , 32.625    , 72.1406   , 73.2891   , 22.8047   , 220       , 16.5      , 16.5      , 2.29067   , 23.25     , 0         , 0.395325  , 2.35294   , 0         , -6.75     , 15.8829   , 35.5728   , 7.01905   
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.00379   , 85.5469   , 0         , 10.6111   , 1080      , 820       , 836.25    , 446.25    , 332.266   , 835.234   , 859.609   , 0.566408  , 0.644533  , 0.507814  , 0.644533  , 32.6719   , 72.1406   , 73.2891   , 22.9219   , 220       , 16.5      , 16.5      , 2.28534   , 23.25     , 0         , 0.395996  , 2.35294   , 0         , -6.75     , 15.921    , 35.5515   , 7.22962   
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.10755   , 85.5469   , 0         , 10.4722   , 1080      , 820       , 836.25    , 445.625   , 336.953   , 835.234   , 859.063   , 0.566408  , 0.644533  , 0.507814  , 0.644533  , 32.5781   , 72.1406   , 73.2891   , 23.2734   , 220       , 16.5      , 16.5      , 2.28267   , 23.25     , 0         , 0.401856  , 2.35294   , 0         , -6        , 15.8707   , 35.5118   , 7.55005   
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.13196   , 85.5469   , 0         , 10.6111   , 1080      , 820       , 836.172   , 446.172   , 338.906   , 835.234   , 858.516   , 0.585939  , 0.664064  , 0.527345  , 0.625002  , 32.625    , 72.1406   , 73.2891   , 23.4375   , 220       , 16.5      , 16.5      , 2.29067   , 23.25     , 0         , 0.405274  , 2.35294   , 0         , -6.75     , 15.8722   , 35.5149   , 7.44324   
