
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 69 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  11.12.2017 18:22:24.804

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.68433   , 99.2188   , 0         , 3.52778   , 6.66667   , 800       , 820       , 836.406   , 413.047   , 310.781   , 836.484   , 854.844   , 0.546876  , 0.976565  , 0.546876  , 0.800783  , 27.8906   , 72.1406   , 73.2891   , 19.0078   , 210       , 16.5      , 16.5      , 2.10134   , 48.75     , 0         , 0.370301  , 0         , 0         , -6        , 13.176    , 33.9051   , 7.82471   
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.65381   , 99.2188   , 0         , 3.5       , 6.61112   , 800       , 820       , 836.406   , 412.5     , 310.547   , 836.484   , 852.969   , 0.527345  , 0.976565  , 0.546876  , 0.781252  , 27.8203   , 72.1406   , 73.2891   , 18.9609   , 210       , 16.5      , 16.5      , 2.128     , 48.75     , 0         , 0.371277  , 0         , 0         , -6        , 13.179    , 33.9279   , 7.76673   
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.74537   , 99.2188   , 0         , 3.5       , 6.58334   , 800       , 820       , 836.406   , 412.891   , 312.188   , 836.484   , 855       , 0.527345  , 0.976565  , 0.546876  , 0.781252  , 27.8672   , 72.1406   , 73.2891   , 19.125    , 210       , 16.5      , 16.5      , 2.13067   , 48.75     , 0         , 0.370667  , 0         , 0         , -6        , 13.1714   , 33.8761   , 7.96815   
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.76673   , 99.2188   , 0         , 3.52778   , 6.44445   , 800       , 820       , 836.406   , 410.703   , 313.203   , 836.484   , 855.391   , 0.527345  , 0.937502  , 0.566408  , 0.800783  , 27.6328   , 72.1406   , 73.2891   , 19.1484   , 210       , 16.5      , 16.5      , 2.09867   , 48.75     , 0         , 0.374451  , 0         , 0         , -4.5      , 13.031    , 33.8227   , 8.33436   
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.94678   , 99.2188   , 0         , 3.5       , 6.69445   , 800       , 820       , 836.406   , 410.859   , 321.484   , 836.484   , 856.172   , 0.527345  , 0.937502  , 0.566408  , 0.800783  , 27.5859   , 72.1406   , 73.2891   , 19.8047   , 210       , 16.5      , 16.5      , 2.15467   , 48.75     , 0         , 0.382386  , 0         , 0         , -2.25     , 13.0249   , 33.786    , 8.84705   
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.73926   , 99.2188   , 0         , 3.5       , 6.38889   , 800       , 820       , 836.406   , 408.125   , 315       , 836.484   , 853.359   , 0.546876  , 0.89844   , 0.585939  , 0.800783  , 27.4688   , 72.1406   , 73.2891   , 19.1953   , 210       , 16.5      , 17.25     , 2.08      , 48.75     , 0         , 0.376587  , 0         , 0         , -6        , 12.9562   , 33.9279   , 7.63856   
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.82471   , 99.2188   , 0         , 3.52778   , 6.41667   , 800       , 820       , 836.406   , 405       , 313.203   , 836.484   , 854.453   , 0.546876  , 0.89844   , 0.585939  , 0.800783  , 27.1406   , 72.1406   , 73.2891   , 19.2188   , 210       , 16.5      , 17.25     , 2.06934   , 48.75     , 0         , 0.371521  , 0         , 0         , -5.25     , 12.8601   , 33.8761   , 7.83997   
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 7.81861   , 99.2188   , 0         , 3.52778   , 6.30556   , 800       , 820       , 836.406   , 403.828   , 314.063   , 836.484   , 854.609   , 0.527345  , 0.89844   , 0.585939  , 0.781252  , 27.0234   , 72.1406   , 73.2891   , 19.2188   , 210       , 16.5      , 16.5      , 2.07467   , 48.75     , 0         , 0.375489  , 0         , 0         , -4.5      , 12.8159   , 33.8761   , 8.09937   
