
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 73 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  16.12.2017 11:09:34.280

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.15967   , 99.2188   , 0         , 5.41667   , 7.19445   , 920       , 820       , 833.438   , 395.625   , 212.578   , 834.063   , 1140.16   , 852.891   , 0.742189  , 0.937502  , 0.781252  , 1.25      , 25.7578   , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.072     , 88.5      , 0         , 0.255005  , 0.949982  , 0         , 0         , -12       , 12.4481   , 34.6253   , 0         
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.20239   , 99.2188   , 0         , 5.41667   , 7.41667   , 920       , 820       , 833.516   , 399.453   , 213.203   , 834.063   , 1140.16   , 852.891   , 0.722658  , 0.89844   , 0.781252  , 1.28907   , 26.0391   , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.096     , 88.5      , 0         , 0.255737  , 0.949982  , 0         , 0         , -12       , 12.5122   , 34.6039   , 0         
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.16882   , 99.2188   , 0         , 5.41667   , 7.13889   , 920       , 820       , 833.516   , 399.922   , 212.813   , 834.063   , 1144.38   , 856.016   , 0.722658  , 0.89844   , 0.781252  , 1.28907   , 26.0859   , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.08534   , 88.5      , 0         , 0.25531   , 0.949982  , 0         , 0         , -12       , 12.6282   , 34.61     , 0         
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.17493   , 99.2188   , 0         , 5.41667   , 6.91667   , 920       , 820       , 833.438   , 399.453   , 212.109   , 832.813   , 1140.31   , 852.969   , 0.722658  , 0.89844   , 0.761721  , 1.25      , 26.1094   , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.088     , 88.5      , 0         , 0.254456  , 0.949982  , 0         , 0         , -12       , 12.6206   , 34.6558   , 0         
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.14136   , 99.2188   , 0         , 5.41667   , 7.05556   , 920       , 820       , 833.438   , 398.203   , 213.047   , 832.813   , 1140.16   , 852.891   , 0.722658  , 0.89844   , 0.761721  , 1.25      , 25.9453   , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.11467   , 88.5      , 0         , 0.255615  , 0.949982  , 0         , 0         , -12       , 12.5427   , 34.6039   , 0         
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.12305   , 99.2188   , 0         , 5.41667   , 6.83334   , 920       , 820       , 833.438   , 396.719   , 212.344   , 832.813   , 1140.16   , 852.891   , 0.703127  , 0.937502  , 0.742189  , 1.25      , 25.875    , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.072     , 88.5      , 0         , 0.254761  , 0.949982  , 0         , 0         , -12       , 12.5259   , 34.6482   , 0         
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.1322    , 99.2188   , 0         , 5.41667   , 6.69445   , 920       , 820       , 833.438   , 393.047   , 211.797   , 832.813   , 1140.16   , 852.891   , 0.703127  , 0.937502  , 0.742189  , 1.25      , 25.5938   , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.05867   , 88.5      , 0         , 0.25409   , 0.949982  , 0         , 0         , -12       , 12.3901   , 34.6695   , 0         
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.08948   , 99.2188   , 0         , 5.41667   , 7.19445   , 920       , 820       , 833.438   , 392.188   , 211.016   , 832.813   , 1143.05   , 855       , 0.683596  , 0.89844   , 0.722658  , 1.21094   , 25.5703   , 72.1406   , 73.2891   , 10.875    , 455       , 20.25     , 20.25     , 2.04267   , 88.5      , 0         , 0.253174  , 0.949982  , 0         , 0         , -12       , 12.3978   , 34.6771   , 0         
    0.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.06506   , 99.2188   , 0         , 5.41667   , 7.11112   , 920       , 820       , 833.438   , 392.5     , 210.078   , 832.813   , 1140.39   , 853.047   , 0.683596  , 0.89844   , 0.722658  , 1.21094   , 25.6641   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.04534   , 88.5      , 0         , 0.252014  , 0.949982  , 0         , 0         , -12       , 12.3749   , 34.7809   , 0         
    0.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.07117   , 99.2188   , 0         , 5.41667   , 6.80556   , 920       , 820       , 833.438   , 390.781   , 210.313   , 834.063   , 1143.05   , 855.078   , 0.664064  , 0.937502  , 0.742189  , 1.21094   , 25.5      , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.03467   , 88.5      , 0         , 0.25232   , 0.949982  , 0         , 0         , -12       , 12.2955   , 34.7595   , 0         
    0.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 1.05286   , 99.2188   , 0         , 5.41667   , 7.02778   , 920       , 820       , 833.438   , 389.453   , 210.313   , 834.063   , 1141.64   , 853.984   , 0.664064  , 0.937502  , 0.742189  , 1.21094   , 25.4063   , 72.1406   , 73.2891   , 10.875    , 450       , 20.25     , 20.25     , 2.03734   , 88.5      , 0         , 0.25232   , 0.949982  , 0         , 0         , -11.25    , 12.178    , 34.7672   , 0         
