
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 79 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  20.05.2018 10:10:34.164

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , misolv_w  , mizsolv_w , milsol_w  , milsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , , , , 
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueBeforeLimitation","TorqueForTimingIntervention","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.80347   , 99.2188   , 0         , 4.80556   , 7.33334   , 760       , 820       , 831.016   , 408.281   , 261.797   , 831.563   , 1002.89   , 852.734   , 0.742189  , 1.17188   , 0.585939  , 0.722658  , 30.3281   , 72.1406   , 73.2891   , 16.1484   , 235       , 17.25     , 17.25     , 2.18134   , 57.75     , 0         , 0.315308  , 0.949982  , 0         , 0         , -11.25    , 12.3489   , 24.9848   , 4.80347   , 4.86451   , 5.68238   , 5.68238   
    0.050, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.80042   , 99.2188   , 0         , 4.80556   , 6.77778   , 800       , 820       , 831.016   , 407.109   , 262.031   , 830.313   , 1002.97   , 852.813   , 0.742189  , 1.21094   , 0.60547   , 0.703127  , 30.2109   , 72.1406   , 73.2891   , 16.1484   , 235       , 17.25     , 17.25     , 2.12      , 57.75     , 0         , 0.315308  , 0.949982  , 0         , 0         , -11.25    , 12.4176   , 24.9771   , 4.80042   , 4.80042   , 5.67933   , 5.67933   
    0.100, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.80652   , 99.2188   , 0         , 4.80556   , 6.83334   , 760       , 820       , 831.016   , 404.453   , 261.797   , 830.313   , 1002.97   , 852.813   , 0.742189  , 1.21094   , 0.60547   , 0.703127  , 29.9531   , 72.1406   , 73.2891   , 16.1484   , 235       , 17.25     , 17.25     , 2.11734   , 57.75     , 0         , 0.315369  , 0.949982  , 0         , 0         , -10.5     , 12.294    , 24.9817   , 4.80652   , 4.89807   , 5.68543   , 5.68543   
    0.150, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.76685   , 99.2188   , 0         , 4.80556   , 7.05556   , 800       , 820       , 831.016   , 404.609   , 261.328   , 831.563   , 1002.97   , 852.813   , 0.761721  , 1.17188   , 0.625002  , 0.703127  , 29.9531   , 72.1406   , 73.2891   , 16.0781   , 235       , 17.25     , 17.25     , 2.12      , 57.75     , 0         , 0.314453  , 0.949982  , 0         , 0         , -11.25    , 12.265    , 24.9741   , 4.76685   , 4.72718   , 5.64576   , 5.64576   
    0.200, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.78821   , 99.2188   , 0         , 4.80556   , 7.05556   , 760       , 820       , 831.016   , 405.547   , 261.563   , 831.563   , 1002.97   , 852.813   , 0.761721  , 1.17188   , 0.625002  , 0.703127  , 30.0703   , 72.1406   , 73.2891   , 16.125    , 235       , 17.25     , 17.25     , 2.13334   , 57.75     , 0         , 0.314697  , 0.949982  , 0         , 0         , -10.5     , 12.294    , 24.9848   , 4.78821   , 4.92554   , 5.66712   , 5.66712   
    0.250, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.7638    , 99.2188   , 0         , 4.80556   , 7.00001   , 760       , 820       , 831.016   , 406.094   , 261.563   , 831.563   , 1002.97   , 852.813   , 0.781252  , 1.17188   , 0.625002  , 0.683596  , 30.0938   , 72.1406   , 73.2891   , 16.0781   , 235       , 17.25     , 17.25     , 2.13867   , 58.5      , 0         , 0.314697  , 0.949982  , 0         , 0         , -11.25    , 12.3154   , 24.971    , 4.7638    , 4.83094   , 5.6427    , 5.6427    
    0.300, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.82483   , 99.2188   , 0         , 4.80556   , 6.88889   , 760       , 820       , 831.016   , 405.469   , 262.578   , 831.563   , 1002.97   , 852.813   , 0.781252  , 1.17188   , 0.625002  , 0.683596  , 30.0469   , 72.1406   , 73.2891   , 16.1953   , 235       , 17.25     , 17.25     , 2.13867   , 58.5      , 0         , 0.315369  , 0.949982  , 0         , 0         , -9        , 12.2879   , 24.9771   , 4.82483   , 5.41077   , 5.70374   , 5.70374   
    0.350, 0         , 0         , 0         , 0         , 0         , 1         , 0         , 0         , 0         , 4.86451   , 99.2188   , 0         , 4.80556   , 7.13889   , 760       , 820       , 831.016   , 407.969   , 265.078   , 830.313   , 1002.97   , 852.813   , 0.781252  , 1.13282   , 0.60547   , 0.703127  , 30.1406   , 72.1406   , 73.2891   , 16.2656   , 235       , 17.25     , 17.25     , 2.16534   , 58.5      , 0         , 0.31897   , 0.949982  , 0         , 0         , -9        , 12.2849   , 24.9359   , 4.86451   , 5.2826    , 5.74341   , 5.74341   
