
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 82 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  27.05.2018 10:40:17.466

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , mibas_w   , mimax_w   , misolv_w  , mizsolv_w , milsol_w  , milsolv_w , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           , , , , , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","TorqueLimit","TorqueBeforeLimitation","TorqueForTimingIntervention","","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.5907    , 8.5907    , 99.2188   , 0         , 3.75      , 6.88889   , 800       , 820       , 835.859   , 423.75    , 330.938   , 835.234   , 986.094   , 852.891   , 0.722658  , 1.13282   , 0.683596  , 1.17188   , 31.2656   , 72.1406   , 73.2891   , 22.4297   , 445       , 39.75     , 39.75     , 2.25067   , 96        , 0         , 0.395874  , 0.949982  , 0.784314  , 0         , -6.75     , 12.8525   , 24.9817   , 8.5907    , 8.44422   , 9.56727   , 9.56727   , 29.25     
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.61817   , 8.61817   , 99.2188   , 0         , 3.75      , 7.05556   , 800       , 820       , 835.859   , 420.859   , 331.25    , 835.234   , 986.094   , 852.891   , 0.722658  , 1.13282   , 0.683596  , 1.17188   , 30.9375   , 72.1406   , 73.2891   , 22.4766   , 445       , 39.75     , 39.75     , 2.25067   , 96        , 0         , 0.396546  , 0.949982  , 0.784314  , 0         , -6.75     , 12.7258   , 24.9771   , 8.61817   , 8.44117   , 9.59473   , 9.59473   , 29.25     
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.52662   , 8.52662   , 99.2188   , 0         , 3.72223   , 7.38889   , 800       , 820       , 835.781   , 421.484   , 330.156   , 835.234   , 986.094   , 852.891   , 0.703127  , 1.17188   , 0.664064  , 1.17188   , 31.0078   , 72.1406   , 73.2891   , 22.3125   , 445       , 39.75     , 40.5      , 2.272     , 96        , 0         , 0.39502   , 0.949982  , 0.784314  , 0         , -6.75     , 12.6618   , 24.9924   , 8.52662   , 8.34962   , 9.50318   , 9.50318   , 29.25     
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.55103   , 8.55103   , 99.2188   , 0         , 3.72223   , 7.47223   , 800       , 820       , 835.781   , 423.281   , 330.078   , 835.234   , 986.094   , 852.891   , 0.703127  , 1.17188   , 0.664064  , 1.17188   , 31.1953   , 72.1406   , 73.2891   , 22.3828   , 445       , 39.75     , 40.5      , 2.28267   , 96        , 0         , 0.394043  , 0.949982  , 0.784314  , 0         , -6.75     , 12.7304   , 24.9848   , 8.55103   , 8.38929   , 9.52759   , 9.52759   , 29.25     
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.56019   , 8.56019   , 99.2188   , 0         , 3.72223   , 7.41667   , 800       , 820       , 835.859   , 424.453   , 330.547   , 836.484   , 986.094   , 852.891   , 0.683596  , 1.21094   , 0.664064  , 1.17188   , 31.3125   , 72.1406   , 73.2891   , 22.3828   , 445       , 40.5      , 40.5      , 2.296     , 96.75     , 0         , 0.395447  , 0.949982  , 0.784314  , 0         , -7.5      , 12.7792   , 24.9802   , 8.56019   , 8.36182   , 9.53675   , 9.53675   , 29.25     
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.48694   , 8.48694   , 99.2188   , 0         , 3.75      , 7.36112   , 800       , 820       , 835.859   , 424.922   , 328.828   , 836.484   , 986.094   , 852.891   , 0.683596  , 1.21094   , 0.664064  , 1.17188   , 31.4063   , 72.1406   , 73.2891   , 22.2656   , 445       , 40.5      , 40.5      , 2.29867   , 96.75     , 0         , 0.392823  , 0.949982  , 0.784314  , 0         , -6.75     , 12.8021   , 24.9893   , 8.48694   , 8.38624   , 9.46351   , 9.46351   , 29.25     
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.60596   , 8.60596   , 99.2188   , 0         , 3.75      , 7.52778   , 760       , 820       , 835.781   , 426.875   , 331.328   , 835.234   , 986.094   , 852.891   , 0.683596  , 1.21094   , 0.683596  , 1.21094   , 31.5703   , 72.1406   , 73.2891   , 22.4766   , 445       , 40.5      , 40.5      , 2.328     , 96.75     , 0         , 0.396424  , 0.949982  , 0.784314  , 0         , -6        , 12.8098   , 24.9664   , 8.60596   , 8.73414   , 9.58253   , 9.58253   , 28.5      
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.65174   , 8.65174   , 99.2188   , 0         , 3.72223   , 7.77778   , 800       , 820       , 835.781   , 431.563   , 333.047   , 835.234   , 986.094   , 852.891   , 0.683596  , 1.21094   , 0.683596  , 1.21094   , 31.9453   , 72.1406   , 73.2891   , 22.5703   , 445       , 40.5      , 40.5      , 2.34934   , 96.75     , 0         , 0.396973  , 0.949982  , 0.784314  , 0         , -7.5      , 12.9303   , 24.9588   , 8.65174   , 8.44422   , 9.6283    , 9.6283    , 28.5      
    0.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.49305   , 8.49305   , 99.2188   , 0         , 3.75      , 7.50001   , 800       , 820       , 835.859   , 432.422   , 329.063   , 836.484   , 986.094   , 852.891   , 0.703127  , 1.17188   , 0.703127  , 1.17188   , 32.1094   , 72.1406   , 73.2891   , 22.2891   , 445       , 40.5      , 40.5      , 2.33334   , 96.75     , 0         , 0.393677  , 0.949982  , 0.784314  , 0         , -9        , 13.0661   , 24.9878   , 8.49305   , 8.19398   , 9.46961   , 9.46961   , 28.5      
    0.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.41981   , 8.41981   , 99.2188   , 0         , 3.75      , 7.05556   , 800       , 820       , 835.859   , 427.891   , 327.266   , 836.484   , 986.094   , 852.891   , 0.703127  , 1.17188   , 0.703127  , 1.17188   , 31.7109   , 72.1406   , 73.2891   , 22.1484   , 440       , 40.5      , 40.5      , 2.29334   , 96.75     , 0         , 0.39093   , 0.949982  , 0.784314  , 0         , -8.25     , 13.0005   , 24.997    , 8.41981   , 8.22754   , 9.39637   , 9.39637   , 28.5      
    0.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.47474   , 8.47474   , 99.2188   , 0         , 3.72223   , 6.94445   , 800       , 820       , 835.859   , 424.297   , 328.594   , 836.484   , 986.094   , 852.891   , 0.722658  , 1.21094   , 0.703127  , 1.17188   , 31.3359   , 72.1406   , 73.2891   , 22.2422   , 440       , 40.5      , 40.5      , 2.27734   , 96.75     , 0         , 0.393067  , 0.949982  , 0.784314  , 0         , -7.5      , 12.8891   , 24.9848   , 8.47474   , 8.25196   , 9.4513    , 9.4513    , 28.5      
    0.550, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.43506   , 8.43506   , 99.2188   , 0         , 3.72223   , 7.08334   , 800       , 820       , 835.859   , 421.25    , 327.813   , 836.484   , 986.094   , 852.891   , 0.722658  , 1.21094   , 0.703127  , 1.17188   , 31.0547   , 72.1406   , 73.2891   , 22.1719   , 440       , 40.5      , 40.5      , 2.28267   , 96.75     , 0         , 0.391236  , 0.949982  , 0.784314  , 0         , -7.5      , 12.6968   , 24.9893   , 8.43506   , 8.17261   , 9.41163   , 9.41163   , 28.5      
    0.600, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.37708   , 8.37708   , 99.2188   , 0         , 3.75      , 7.27778   , 800       , 820       , 835.781   , 420.078   , 326.563   , 835.234   , 986.094   , 852.891   , 0.722658  , 1.21094   , 0.722658  , 1.13282   , 30.9375   , 72.1406   , 73.2891   , 22.0547   , 440       , 40.5      , 40.5      , 2.29067   , 96.75     , 0         , 0.390686  , 0.949982  , 0.784314  , 0         , -8.25     , 12.6709   , 25.0138   , 8.37708   , 7.94983   , 9.35364   , 9.35364   , 28.5      
    0.650, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.2428    , 8.2428    , 99.2188   , 0         , 3.75      , 7.19445   , 800       , 820       , 835.781   , 418.359   , 323.125   , 835.234   , 986.094   , 852.891   , 0.722658  , 1.21094   , 0.722658  , 1.13282   , 30.8438   , 72.1406   , 73.2891   , 21.7969   , 445       , 40.5      , 40.5      , 2.232     , 96.75     , 0         , 0.387451  , 0.949982  , 0.784314  , 0         , -10.5     , 12.6511   , 25.0519   , 8.2428    , 7.30286   , 9.21937   , 9.21937   , 28.5      
    0.700, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.12989   , 8.12989   , 99.2188   , 0         , 3.72223   , 7.11112   , 800       , 820       , 835.781   , 416.719   , 319.609   , 835.234   , 986.094   , 852.891   , 0.742189  , 1.17188   , 0.742189  , 1.17188   , 30.8203   , 72.1406   , 73.2891   , 21.6094   , 445       , 40.5      , 40.5      , 2.23734   , 96.75     , 0         , 0.38208   , 0.949982  , 0.784314  , 0         , -9        , 12.6358   , 25.0138   , 8.12989   , 7.724     , 9.07288   , 9.07288   , 28.5      
    0.750, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.20313   , 8.20313   , 99.2188   , 0         , 3.72223   , 7.44445   , 800       , 820       , 835.781   , 417.734   , 322.891   , 835.234   , 986.094   , 852.891   , 0.742189  , 1.17188   , 0.742189  , 1.17188   , 30.7734   , 72.1406   , 73.2891   , 21.7734   , 445       , 40.5      , 40.5      , 2.256     , 96.75     , 0         , 0.386658  , 0.949982  , 0.784314  , 0         , -9        , 12.619    , 25.0153   , 8.20313   , 7.77283   , 9.17969   , 9.17969   , 30        
