
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 88 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  02.06.2018 09:11:10.707

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.77381   , 99.9985   , 8.77381   , 99.2188   , 0         , 5.38889   , 5.83334   , 800       , 840       , 847.891   , 392.578   , 340.938   , 847.656   , 1155.31   , 865.859   , 0.60547   , 1.25      , 0.664064  , 1.32813   , 27.75     , 72.1406   , 73.2891   , 22.8984   , 445       , 30        , 30        , 2.09067   , 92.25     , 0         , 0.402466  , 0.949982  , 0         , 0         , -3        , 0         , 11.615    , 24.9771   , 8.77381   , 0         , 8.69752   , 9.84803   , 9.84803   , 0         , 0         , 0         , 30        
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.8379    , 99.9985   , 8.8379    , 99.2188   , 0         , 5.38889   , 6.11112   , 800       , 840       , 847.891   , 388.828   , 342.344   , 847.656   , 1155.08   , 865.703   , 0.60547   , 1.28907   , 0.683596  , 1.28907   , 27.3516   , 72.1406   , 73.2891   , 22.9922   , 445       , 30        , 30        , 2.10134   , 92.25     , 0         , 0.40326   , 0.949982  , 0         , 0         , -1.5      , 0         , 11.4472   , 24.9664   , 8.8379    , 0         , 8.81959   , 9.91212   , 9.91212   , 0         , 0         , 0         , 30.75     
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.81959   , 99.9985   , 8.81959   , 99.2188   , 0         , 5.41667   , 6.36112   , 800       , 840       , 847.891   , 391.25    , 341.953   , 847.656   , 1155.08   , 865.703   , 0.60547   , 1.28907   , 0.683596  , 1.28907   , 27.5859   , 72.1406   , 73.2891   , 22.9688   , 445       , 30        , 30        , 2.136     , 92.25     , 0         , 0.403443  , 0.949982  , 0         , 0         , -2.25     , 0         , 11.5616   , 24.9695   , 8.81959   , 0         , 8.76465   , 9.89381   , 9.89381   , 0         , 0         , 0         , 30.75     
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.87757   , 99.9985   , 8.87757   , 99.2188   , 0         , 5.38889   , 6.16667   , 760       , 840       , 847.891   , 390.547   , 343.281   , 847.656   , 1155.08   , 865.703   , 0.585939  , 1.32813   , 0.664064  , 1.32813   , 27.5156   , 72.1406   , 73.2891   , 23.0625   , 445       , 30        , 30        , 2.12534   , 92.25     , 0         , 0.40448   , 0.949982  , 0         , 0         , -1.5      , 0         , 11.5189   , 24.9619   , 8.87757   , 0         , 9.04236   , 9.95179   , 9.95179   , 0         , 0         , 0         , 30.75     
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.91724   , 99.9985   , 8.91724   , 99.2188   , 0         , 5.38889   , 6.72223   , 760       , 840       , 847.891   , 394.453   , 344.297   , 847.656   , 1155.08   , 865.703   , 0.585939  , 1.32813   , 0.664064  , 1.32813   , 27.8438   , 72.1406   , 73.2891   , 23.1328   , 445       , 30        , 30        , 2.16      , 92.25     , 0         , 0.405945  , 0.949982  , 0         , 0         , -0.75     , 0         , 11.6242   , 24.9542   , 8.91724   , 0         , 9.10035   , 9.99146   , 9.99146   , 0         , 0         , 0         , 30.75     
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.87147   , 99.9985   , 8.87147   , 99.2188   , 0         , 5.38889   , 6.50001   , 800       , 840       , 847.891   , 396.953   , 342.109   , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.32813   , 0.664064  , 1.32813   , 28.0781   , 72.1406   , 73.2891   , 23.0391   , 445       , 30        , 30        , 2.13334   , 92.25     , 0         , 0.405213  , 0.949982  , 0         , 0         , -3        , 0         , 11.7218   , 24.9634   , 8.87147   , 0         , 8.80128   , 9.94569   , 9.94569   , 0         , 0         , 0         , 30        
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.88673   , 99.9985   , 8.88673   , 99.2188   , 0         , 5.41667   , 6.52778   , 760       , 840       , 847.891   , 398.047   , 343.516   , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.32813   , 0.664064  , 1.32813   , 28.1953   , 72.1406   , 73.2891   , 23.0859   , 445       , 30        , 30        , 2.16534   , 92.25     , 0         , 0.403992  , 0.949982  , 0         , 0         , -2.25     , 0         , 11.7523   , 24.9619   , 8.88673   , 0         , 8.89283   , 9.96094   , 9.96094   , 0         , 0         , 0         , 30        
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.9325    , 99.9985   , 8.9325    , 99.2188   , 0         , 5.38889   , 6.36112   , 760       , 840       , 847.891   , 397.578   , 344.531   , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.28907   , 0.644533  , 1.28907   , 28.1484   , 72.1406   , 73.2891   , 23.1563   , 445       , 30        , 30        , 2.168     , 92.25     , 0         , 0.406311  , 0.949982  , 0         , 0         , -2.25     , 0         , 11.734    , 24.9558   , 8.9325    , 0         , 9.00574   , 10.0067   , 10.0067   , 0         , 0         , 0         , 30        
    0.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.93555   , 99.9985   , 8.93555   , 99.2188   , 0         , 5.38889   , 6.19445   , 760       , 840       , 847.891   , 395.938   , 344.766   , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.28907   , 0.644533  , 1.28907   , 27.9844   , 72.1406   , 73.2891   , 23.1797   , 445       , 30        , 30        , 2.16      , 92.25     , 0         , 0.406555  , 0.949982  , 0         , 0         , -1.5      , 0         , 11.6791   , 24.9588   , 8.93555   , 0         , 9.08814   , 10.0098   , 10.0098   , 0         , 0         , 0         , 30        
    0.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.91724   , 99.9985   , 8.91724   , 99.2188   , 0         , 5.38889   , 6.30556   , 800       , 840       , 847.891   , 394.844   , 343.75    , 847.656   , 1155.08   , 865.703   , 0.585939  , 1.32813   , 0.625002  , 1.28907   , 27.9141   , 72.1406   , 73.2891   , 23.1094   , 445       , 30        , 30        , 2.152     , 92.25     , 0         , 0.406006  , 0.949982  , 0         , 0         , -2.25     , 0         , 11.6684   , 24.9634   , 8.91724   , 0         , 8.80738   , 9.99146   , 9.99146   , 0         , 0         , 0         , 30        
    0.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.85926   , 99.9985   , 8.85926   , 99.2188   , 0         , 5.38889   , 6.44445   , 800       , 840       , 847.891   , 395       , 342.188   , 847.656   , 1155.08   , 865.703   , 0.585939  , 1.32813   , 0.625002  , 1.28907   , 27.9609   , 72.1406   , 73.2891   , 23.0156   , 445       , 30        , 30        , 2.16      , 92.25     , 0         , 0.40448   , 0.949982  , 0         , 0         , -3        , 0         , 11.6898   , 24.9771   , 8.85926   , 0         , 8.69141   , 9.93348   , 9.93348   , 0         , 0         , 0         , 30.75     
    0.550, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.8501    , 99.9985   , 8.8501    , 99.2188   , 0         , 5.38889   , 6.47223   , 800       , 840       , 847.891   , 395.156   , 341.25    , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.36719   , 0.625002  , 1.25      , 27.9844   , 72.1406   , 73.2891   , 23.0156   , 445       , 30        , 30        , 2.16      , 92.25     , 0         , 0.403809  , 0.949982  , 0         , 0         , -3.75     , 0         , 11.6913   , 24.9802   , 8.8501    , 0         , 8.59681   , 9.92432   , 9.92432   , 0         , 0         , 0         , 30.75     
    0.600, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.844     , 99.9985   , 8.844     , 99.2188   , 0         , 5.38889   , 6.52778   , 760       , 840       , 847.891   , 396.875   , 342.109   , 847.656   , 1155.39   , 865.938   , 0.566408  , 1.36719   , 0.625002  , 1.25      , 28.1484   , 72.1406   , 73.2891   , 23.0156   , 445       , 30        , 30        , 2.168     , 92.25     , 0         , 0.402466  , 0.949982  , 0         , 0         , -2.25     , 0         , 11.7355   , 24.9771   , 8.844     , 0         , 8.86536   , 9.91822   , 9.91822   , 0         , 0         , 0         , 30.75     
    0.650, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.90504   , 99.9985   , 8.90504   , 99.2188   , 0         , 5.38889   , 6.41667   , 800       , 840       , 847.891   , 397.578   , 342.891   , 847.656   , 1155.08   , 865.703   , 0.566408  , 1.36719   , 0.60547   , 1.21094   , 28.2188   , 72.1406   , 73.2891   , 23.1094   , 445       , 30        , 30        , 2.17867   , 92.25     , 0         , 0.404663  , 0.949982  , 0         , 0         , -3        , 0         , 11.7539   , 24.9664   , 8.90504   , 0         , 8.86231   , 9.97926   , 9.97926   , 0         , 0         , 0         , 30.75     
    0.700, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.88062   , 99.9985   , 8.88062   , 99.2188   , 0         , 5.38889   , 5.91667   , 800       , 840       , 847.891   , 392.031   , 342.813   , 847.656   , 1155.31   , 865.859   , 0.566408  , 1.36719   , 0.60547   , 1.21094   , 27.6797   , 72.1406   , 73.2891   , 23.0625   , 445       , 30        , 30        , 2.12534   , 92.25     , 0         , 0.404114  , 0.949982  , 0         , 0         , -3        , 0         , 11.583    , 24.971    , 8.88062   , 0         , 8.69752   , 9.95484   , 9.95484   , 0         , 0         , 0         , 30.75     
