
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 90 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  24.06.2018 11:49:17.697

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.52662   , 99.9985   , 8.52662   , 99.2188   , 0         , 3.72223   , 7.8889    , 800       , 840       , 840.078   , 442.109   , 328.906   , 840.234   , 991.016   , 857.109   , 0.664064  , 1.17188   , 0.742189  , 1.09375   , 33.3281   , 72.1406   , 73.2891   , 22.4766   , 375       , 38.25     , 38.25     , 2.43734   , 95.25     , 0         , 0.393006  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4583   , 24.9649   , 8.52662   , 0         , 8.50526   , 9.60084   , 9.60084   , 0         , 0         , 0         , 0         , 28.5      
    0.050, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.58155   , 99.9985   , 8.58155   , 99.2188   , 0         , 3.72223   , 7.72223   , 800       , 840       , 840.078   , 440.313   , 328.594   , 840.234   , 994.688   , 860.313   , 0.664064  , 1.17188   , 0.742189  , 1.09375   , 33.1875   , 72.1406   , 73.2891   , 22.4297   , 375       , 38.25     , 38.25     , 2.416     , 95.25     , 0         , 0.39093   , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4033   , 24.9787   , 8.58155   , 0         , 8.51136   , 9.55811   , 9.55811   , 0         , 0         , 0         , 0         , 28.5      
    0.100, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.53882   , 99.9985   , 8.53882   , 99.2188   , 0         , 3.75      , 7.86112   , 800       , 840       , 840.078   , 442.188   , 327.891   , 840.234   , 991.094   , 857.188   , 0.664064  , 1.17188   , 0.761721  , 1.05469   , 33.375    , 72.1406   , 73.2891   , 22.3594   , 375       , 38.25     , 38.25     , 2.44267   , 95.25     , 0         , 0.390808  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4552   , 24.9817   , 8.53882   , 0         , 8.50526   , 9.51539   , 9.51539   , 0         , 0         , 0         , 0         , 28.5      
    0.150, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.59376   , 99.9985   , 8.59376   , 99.2188   , 0         , 3.75      , 7.61112   , 760       , 840       , 840.078   , 443.125   , 329.141   , 840.234   , 991.25    , 857.344   , 0.664064  , 1.17188   , 0.761721  , 1.05469   , 33.4688   , 72.1406   , 73.2891   , 22.4531   , 375       , 38.25     , 38.25     , 2.432     , 95.25     , 0         , 0.391419  , 0.949982  , 0.784314  , 0         , -8.25     , 0         , 13.4873   , 24.971    , 8.59376   , 0         , 8.62427   , 9.57032   , 9.57032   , 0         , 0         , 0         , 0         , 28.5      
    0.200, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.48694   , 99.9985   , 8.48694   , 99.2188   , 0         , 3.77778   , 7.52778   , 800       , 840       , 840.078   , 439.844   , 326.563   , 840.234   , 991.016   , 857.109   , 0.683596  , 1.13282   , 0.781252  , 1.01563   , 33.1172   , 72.1406   , 73.2891   , 22.2656   , 375       , 38.25     , 38.25     , 2.408     , 95.25     , 0         , 0.390625  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.3881   , 24.9832   , 8.48694   , 0         , 8.36487   , 9.46351   , 9.46351   , 0         , 0         , 0         , 0         , 28.5      
    0.250, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.52357   , 99.9985   , 8.52357   , 99.2188   , 0         , 3.72223   , 7.61112   , 800       , 840       , 840.078   , 438.203   , 327.344   , 840.234   , 991.016   , 857.109   , 0.683596  , 1.13282   , 0.781252  , 1.01563   , 33        , 72.1406   , 73.2891   , 22.3359   , 375       , 38.25     , 38.25     , 2.41334   , 95.25     , 0         , 0.388672  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.3667   , 24.9832   , 8.52357   , 0         , 8.34046   , 9.50013   , 9.50013   , 0         , 0         , 0         , 0         , 28.5      
    0.300, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.54493   , 99.9985   , 8.54493   , 99.2188   , 0         , 3.80556   , 7.83334   , 800       , 840       , 840.078   , 439.453   , 327.578   , 840.234   , 991.563   , 857.656   , 0.703127  , 1.09375   , 0.781252  , 1.01563   , 33.1172   , 72.1406   , 73.2891   , 22.3594   , 375       , 38.25     , 38.25     , 2.42667   , 95.25     , 0         , 0.389893  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.3637   , 24.9787   , 8.54493   , 0         , 8.45948   , 9.52149   , 9.52149   , 0         , 0         , 0         , 0         , 28.5      
    0.350, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.49      , 99.9985   , 8.49      , 99.2188   , 0         , 3.77778   , 8.08334   , 800       , 840       , 840.078   , 442.031   , 326.875   , 840.234   , 991.016   , 857.109   , 0.703127  , 1.09375   , 0.781252  , 1.01563   , 33.3516   , 72.1406   , 73.2891   , 22.2656   , 375       , 38.25     , 38.25     , 2.45067   , 95.25     , 0         , 0.389099  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4567   , 24.9893   , 8.49      , 0         , 8.39234   , 9.46656   , 9.46656   , 0         , 0         , 0         , 0         , 28.5      
    0.400, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.55408   , 99.9985   , 8.55408   , 99.2188   , 0         , 3.72223   , 7.63889   , 800       , 840       , 840.078   , 442.5     , 328.047   , 840.234   , 991.016   , 857.109   , 0.703127  , 1.09375   , 0.800783  , 0.976565  , 33.3984   , 72.1406   , 73.2891   , 22.3828   , 375       , 38.25     , 38.25     , 2.44      , 95.25     , 0         , 0.390442  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4659   , 24.971    , 8.55408   , 0         , 8.48389   , 9.53065   , 9.53065   , 0         , 0         , 0         , 0         , 28.5      
    0.450, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.60901   , 99.9985   , 8.60901   , 99.2188   , 0         , 3.72223   , 7.50001   , 800       , 840       , 840.078   , 439.609   , 329.063   , 840.234   , 991.016   , 857.109   , 0.703127  , 1.09375   , 0.800783  , 0.976565  , 33.1172   , 72.1406   , 73.2891   , 22.4766   , 375       , 38.25     , 38.25     , 2.41867   , 95.25     , 0         , 0.389344  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.385    , 24.9863   , 8.60901   , 0         , 8.40455   , 9.58558   , 9.58558   , 0         , 0         , 0         , 0         , 28.5      
    0.500, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.49915   , 99.9985   , 8.49915   , 99.2188   , 0         , 3.72223   , 8.00001   , 800       , 840       , 840.078   , 441.641   , 326.875   , 840.234   , 993.359   , 859.219   , 0.722658  , 1.13282   , 0.781252  , 0.937502  , 33.3047   , 72.1406   , 73.2891   , 22.2656   , 375       , 38.25     , 38.25     , 2.45867   , 95.25     , 0         , 0.389344  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4384   , 24.9863   , 8.49915   , 0         , 8.4076    , 9.47571   , 9.47571   , 0         , 0         , 0         , 0         , 28.5      
    0.550, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.48389   , 99.9985   , 8.48389   , 99.2188   , 0         , 3.75      , 8.08334   , 800       , 840       , 840.078   , 443.359   , 326.875   , 840.234   , 991.25    , 857.344   , 0.722658  , 1.13282   , 0.781252  , 0.937502  , 33.4688   , 72.1406   , 73.2891   , 22.2656   , 375       , 38.25     , 38.25     , 2.47734   , 95.25     , 0         , 0.389099  , 0.949982  , 0.784314  , 0         , -9        , 0         , 13.4903   , 24.9832   , 8.48389   , 0         , 8.44727   , 9.46046   , 9.46046   , 0         , 0         , 0         , 0         , 28.5      
    0.600, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.52051   , 99.9985   , 8.52051   , 99.2188   , 0         , 3.69445   , 8.25001   , 800       , 840       , 840.078   , 448.672   , 327.5     , 840.234   , 991.016   , 857.109   , 0.703127  , 1.17188   , 0.781252  , 0.937502  , 33.9844   , 72.1406   , 73.2891   , 22.3125   , 375       , 38.25     , 38.25     , 2.49867   , 95.25     , 0         , 0.390076  , 0.949982  , 0.784314  , 0         , -9.75     , 0         , 13.6765   , 25.0046   , 8.52051   , 0         , 8.21534   , 9.49708   , 9.49708   , 0         , 0         , 0         , 0         , 28.5      
    0.650, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.4076    , 99.9985   , 8.4076    , 99.2188   , 0         , 3.69445   , 7.86112   , 800       , 840       , 840.078   , 448.047   , 324.688   , 840.234   , 993.359   , 859.219   , 0.703127  , 1.17188   , 0.781252  , 0.937502  , 33.9844   , 72.1406   , 73.2891   , 22.125    , 375       , 38.25     , 38.25     , 2.47734   , 95.25     , 0         , 0.386719  , 0.949982  , 0.784314  , 0         , -10.5     , 0         , 13.678    , 25.0092   , 8.4076    , 0         , 8.03223   , 9.38416   , 9.38416   , 0         , 0         , 0         , 0         , 28.5      
    0.700, 0         , 0         , 0         , 0         , 0         , 0.999757  , 0         , 0         , 0         , 8.43201   , 99.9985   , 8.43201   , 99.2188   , 0         , 3.75      , 7.83334   , 800       , 840       , 840.078   , 446.563   , 324.688   , 840.234   , 991.328   , 857.422   , 0.703127  , 1.17188   , 0.761721  , 0.89844   , 33.8672   , 72.1406   , 73.2891   , 22.1484   , 375       , 38.25     , 38.25     , 2.47467   , 95.25     , 0         , 0.386841  , 0.949982  , 0.784314  , 0         , -10.5     , 0         , 13.6383   , 24.9985   , 8.43201   , 0         , 8.17872   , 9.40858   , 9.40858   , 0         , 0         , 0         , 0         , 28.5      
