
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 92 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  04.07.2018 13:31:12.625

TimeStamp, dwkrz_0   , dwkrz_1   , dwkrz_2   , dwkrz_3   , gangi     , lamsbg_w  , lde       , ldtvm     , ldtvr_w   , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , plsol     , plsol_w   , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdkds_w  , pvdks_w   , rkrn_w_0  , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm     , tans      , tanslin   , ti_b1     , tmot      , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wped_w    , zwout     , B_mibeg   , mibas_w   , mimax_w   , misolv_w  , B_mdein   , mizsolv_w , milsol_w  , milsolv_w , B_dash    , B_lsd     , B_dashv   , dmar_w    , zwbas     
  sec.ms , °KW       , °KW       , °KW       , °KW       , gear      , -         , mBar      , , , , , , , , g/s       , g/s       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , , , , , °C        , °C        , °C        , ms        , °C        , km/h      , -         , -         , DK      , PED     , °KW       ,           ,           , , ,           , , , ,           ,           ,           , , °KW       
"TIME","IgnitionRetardCyl1","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","SelectedGear","AirFuelRatioDesired","","WastegateDutyCycle","WastegateDutyCycleBeforeLin","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","BoostPressureDesired","BoostPressureDesired","","","BaroPressure","","BoostPressureActual","BoostPressureActual","KnockVoltageCyl1","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","VehicleSpeed","","","ThrottlePlateAngle","AccelPedalPosition","IgnitionTimingAngleOverall","","","TorqueLimit","TorqueBeforeLimitation","","TorqueForTimingIntervention","","","","","","",""
    0.000, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.30556   , 12.3056   , 2440      , 840       , 840.313   , 234.844   , 161.484   , 840.234   , 1001.95   , 859.219   , 859.219   , 1.64063   , 2.03126   , 1.79688   , 2.42188   , 17.9531   , 126.609   , 128.625   , 10.9688   , 330       , 66        , 66        , 1.76534   , 108       , 72.1172   , 0.192139  , 0.949982  , 2.7451    , 0         , -5.25     , 0         , 7.11365   , 45.7749   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.050, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.30556   , 12.9722   , 2440      , 840       , 840.313   , 233.438   , 161.563   , 840.234   , 1001.88   , 859.141   , 859.141   , 1.64063   , 2.03126   , 1.79688   , 2.42188   , 17.8125   , 126.07    , 128.086   , 10.9688   , 330       , 66        , 66        , 1.784     , 108       , 71.9766   , 0.192261  , 0.949982  , 2.7451    , 0         , -5.25     , 0         , 6.93818   , 45.7718   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.100, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.36112   , 12.7778   , 2440      , 840       , 840.313   , 235.625   , 161.563   , 840.234   , 1004.3    , 861.25    , 861.25    , 1.71875   , 2.10938   , 1.79688   , 2.42188   , 18.0234   , 126       , 128.016   , 10.9688   , 330       , 66        , 66        , 1.776     , 108       , 72.0156   , 0.192261  , 0.949982  , 2.7451    , 0         , -5.25     , 0         , 7.14112   , 45.5551   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.150, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.27778   , 12.6667   , 2440      , 840       , 840.313   , 235.547   , 161.563   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.71875   , 2.10938   , 1.79688   , 2.42188   , 18.0234   , 125.438   , 127.43    , 10.9688   , 330       , 66        , 66        , 1.77867   , 108       , 71.9766   , 0.192261  , 0.949982  , 2.7451    , 0         , -5.25     , 0         , 7.13959   , 45.5506   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.200, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.30556   , 12.8889   , 2440      , 840       , 840.313   , 233.828   , 161.563   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.79688   , 2.18751   , 1.64063   , 2.42188   , 17.8594   , 125.93    , 127.922   , 10.9688   , 330       , 66        , 66        , 1.784     , 108       , 71.9297   , 0.192261  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 6.99616   , 45.3369   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.250, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.30556   , 12.6111   , 2440      , 840       , 840.313   , 233.281   , 161.641   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.79688   , 2.18751   , 1.64063   , 2.42188   , 17.7891   , 124.992   , 126.984   , 10.9688   , 330       , 66        , 66        , 1.76      , 108       , 71.8516   , 0.192322  , 0.949982  , 2.7451    , 0         , -5.25     , 0         , 6.99463   , 45.4926   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.300, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.30556   , 13.0556   , 2440      , 840       , 840.313   , 235       , 161.563   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.64063   , 2.26563   , 1.64063   , 2.50001   , 17.9531   , 125.555   , 127.547   , 10.9688   , 330       , 66        , 66        , 1.77867   , 108       , 71.7891   , 0.192261  , 0.949982  , 2.7451    , 0         , -5.25     , 0         , 7.05262   , 45.1218   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
    0.350, 0         , 0         , 0         , 0         , 4         , 1.04688   , 0         , 0         , 0         , 0         , 99.9985   , 0         , 99.2188   , 0         , 6.27778   , 12.6945   , 2400      , 840       , 840.313   , 235.313   , 161.719   , 840.234   , 1004.38   , 861.328   , 861.328   , 1.64063   , 2.26563   , 1.64063   , 2.50001   , 17.9766   , 124.547   , 126.539   , 10.9688   , 325       , 66        , 66        , 1.768     , 108       , 71.7109   , 0.192444  , 0.949982  , 2.35294   , 0         , -5.25     , 0         , 7.10755   , 45.3293   , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 0         , 42.75     
