
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 108 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  13.07.2019 10:16:35.998

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , ps_w      , pus_w     , pvdk_w    , pvdks_w   , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","","BaroPressure","","BoostPressureActual","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch",""
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.903565  , 1.01962   , 0.917695  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.6809   , 99.9985   , 16.6809   , 99.2188   , 0         , 7.27778   , 9.97223   , 760       , 800       , 820       , 502.656   , 830.313   , 1139.45   , 852.5     , 1.25      , 0.625002  , 0.800783  , 0.761721  , 1.71875   , 0         , 42.75     , 43.4766   , 84.2109   , 84.2109   , 37.1719   , 292.87    , 33.75     , 33.75     , 2.448     , 57.75     , 58.5      , 0.742976  , 4.27211   , 0.742187  , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.4608   , 3         , 1         , 1         , 0         , 1         
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.902192  , 1.01962   , 0.917695  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.5375   , 99.9985   , 16.5375   , 99.2188   , 0         , 7.27778   , 10        , 800       , 800       , 820       , 502.031   , 830.313   , 1138.91   , 852.109   , 1.25      , 0.625002  , 0.820315  , 0.742189  , 1.71875   , 0         , 42.75     , 43.4063   , 84.2109   , 84.2109   , 36.8672   , 292.87    , 33.75     , 34.5      , 2.44534   , 57.75     , 58.5      , 0.742976  , 4.27211   , 0.74707   , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.4608   , 3         , 1         , 1         , 0         , 1         
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.900819  , 1.01962   , 0.917695  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.6016   , 99.9985   , 16.6016   , 99.2188   , 0         , 7.38889   , 10.1667   , 800       , 800       , 820       , 501.641   , 830.313   , 1139.84   , 852.813   , 1.25      , 0.625002  , 0.820315  , 0.742189  , 1.71875   , 0         , 42.75     , 43.4063   , 84.2109   , 84.2109   , 36.9844   , 292.87    , 33.75     , 34.5      , 2.44267   , 57.75     , 58.5      , 0.742976  , 4.27211   , 0.74707   , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.4608   , 2.25      , 1         , 1         , 0         , 1         
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.899445  , 1.01962   , 0.917695  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.4765   , 99.9985   , 16.4765   , 99.2188   , 0         , 7.27778   , 10.1945   , 800       , 800       , 820       , 500.859   , 830.313   , 1139.84   , 852.813   , 1.25      , 0.60547   , 0.839846  , 0.761721  , 1.71875   , 0         , 42.75     , 43.3359   , 84.2109   , 84.2109   , 36.75     , 292.968   , 33.75     , 33.75     , 2.456     , 57.75     , 58.5      , 0.738088  , 4.27211   , 0.742187  , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.4608   , 3         , 1         , 1         , 0         , 1         
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.898072  , 1.01962   , 0.917695  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.5497   , 99.9985   , 16.5497   , 99.2188   , 0         , 7.27778   , 9.91667   , 800       , 800       , 820       , 499.063   , 830.313   , 1135.47   , 849.531   , 1.25      , 0.60547   , 0.839846  , 0.761721  , 1.71875   , 0         , 42.75     , 43.1484   , 84.2109   , 84.2109   , 36.8672   , 292.968   , 33.75     , 33.75     , 2.432     , 57.75     , 58.5      , 0.742976  , 4.27211   , 0.751953  , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.3904   , 3         , 1         , 1         , 0         , 1         
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 18        , 0.896699  , 1.01962   , 0.917695  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.4826   , 99.9985   , 16.4826   , 99.2188   , 0         , 7.36112   , 10.0278   , 800       , 800       , 820       , 498.984   , 830.313   , 1139.69   , 852.734   , 1.28907   , 0.625002  , 0.859377  , 0.761721  , 1.79688   , 0         , 42.75     , 43.1484   , 84.2109   , 84.2109   , 36.75     , 292.968   , 33.75     , 34.5      , 2.432     , 57.75     , 58.5      , 0.742976  , 4.27211   , 0.751953  , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.4608   , 3         , 1         , 1         , 0         , 1         
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.895325  , 1.01962   , 0.917695  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.626    , 99.9985   , 16.626    , 99.2188   , 0         , 7.36112   , 10.0556   , 760       , 800       , 820       , 500.625   , 830.313   , 1138.75   , 852.031   , 1.28907   , 0.625002  , 0.859377  , 0.761721  , 1.79688   , 0         , 42.75     , 43.3359   , 84.2109   , 84.2109   , 37.0781   , 292.968   , 33.75     , 34.5      , 2.47467   , 57.75     , 58.5      , 0.742976  , 4.26722   , 0.74707   , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.4608   , 3.75      , 1         , 1         , 0         , 1         
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.893952  , 1.01962   , 0.914704  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 16.5711   , 99.9985   , 16.5711   , 99.2188   , 0         , 7.36112   , 10.2222   , 760       , 800       , 820       , 501.172   , 830.313   , 1139.45   , 852.5     , 1.28907   , 0.625002  , 0.859377  , 0.742189  , 1.79688   , 0         , 42.75     , 43.2891   , 84.2109   , 84.2109   , 36.9609   , 293.007   , 33.75     , 33.75     , 2.456     , 57.75     , 58.5      , 0.742976  , 4.26722   , 0.74707   , 0.732421  , 0.366211  , 0         , 1.17647   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 12.4608   , 3.75      , 1         , 1         , 0         , 1         
