
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 124 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  06.09.2020 21:52:34.042

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.81421   , 0.99997   , 0.844208  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.93555   , 99.9985   , 8.93555   , 99.2188   , 0         , 7.55556   , 15.5      , 1120      , 1140      , 820       , 827.188   , 0         , 571.25    , 365.078   , 827.813   , 1011.72   , 872.031   , 0         , 0.625002  , 0.488283  , 0.527345  , 0.664064  , 0.937502  , 0         , 45        , 45.2109   , 104.883   , 103.781   , 26.8594   , 211.972   , 30.75     , 30.75     , 2.464     , 36        , 36.75     , 0.826072  , 4.18413   , 0.947265  , 0.737304  , 0.366211  , 0         , 0.440064  , 0.949982  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -12       , 0         , 0         , 0         , 1         , 22.554    , 45.0257   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.813141  , 0.99997   , 0.84314   , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.96607   , 99.9985   , 8.96607   , 99.2188   , 0         , 7.55556   , 15.5556   , 1120      , 1140      , 820       , 827.266   , 0         , 571.563   , 366.016   , 827.813   , 1011.72   , 872.109   , 0         , 0.625002  , 0.488283  , 0.527345  , 0.664064  , 0.937502  , 0         , 45        , 45.2344   , 104.906   , 103.781   , 26.9297   , 211.972   , 30.75     , 30.75     , 2.43467   , 36        , 36.75     , 0.83096   , 4.18413   , 0.961914  , 0.727539  , 0.366211  , 0         , 0.442383  , 0.949982  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.728    , -12       , 0         , 0         , 0         , 1         , 22.5861   , 44.9936   
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.812073  , 0.99997   , 0.842072  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.9325    , 99.9985   , 8.9325    , 99.2188   , 0         , 7.52778   , 15.3611   , 1120      , 1140      , 820       , 827.266   , 0         , 573.047   , 364.844   , 826.641   , 1009.3    , 870       , 0         , 0.625002  , 0.468751  , 0.546876  , 0.683596  , 0.917971  , 0         , 45        , 45.375    , 104.906   , 103.805   , 26.8359   , 213.222   , 30.75     , 30.75     , 2.43467   , 36        , 36.75     , 0.83096   , 4.18413   , 0.957031  , 0.732421  , 0.366211  , 0         , 0.44159   , 0.949982  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -12       , 0         , 0         , 0         , 1         , 22.6868   , 45.0104   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.811005  , 0.99997   , 0.841004  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.96302   , 99.9985   , 8.96302   , 99.2188   , 0         , 7.52778   , 15.3889   , 1120      , 1140      , 820       , 827.188   , 0         , 574.609   , 365.625   , 826.641   , 1009.14   , 869.922   , 0         , 0.625002  , 0.468751  , 0.546876  , 0.683596  , 0.917971  , 0         , 45        , 45.5156   , 104.906   , 103.805   , 26.9063   , 213.222   , 30.75     , 30.75     , 2.43467   , 36        , 36.75     , 0.826072  , 4.17924   , 0.952148  , 0.732421  , 0.366211  , 0         , 0.441956  , 0.949982  , 3.13726   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , -12       , 0         , 0         , 0         , 1         , 22.7524   , 45.0104   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.809937  , 0.99997   , 0.839936  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.92335   , 99.9985   , 8.92335   , 99.2188   , 0         , 7.66667   , 15.5556   , 1120      , 1140      , 820       , 827.188   , 0         , 574.063   , 364.063   , 826.641   , 1011.48   , 871.875   , 0         , 0.644533  , 0.488283  , 0.566408  , 0.664064  , 0.89844   , 0         , 45        , 45.5156   , 104.906   , 103.828   , 26.8125   , 213.222   , 30.75     , 30.75     , 2.464     , 36        , 36.75     , 0.83096   , 4.18413   , 0.952148  , 0.732421  , 0.366211  , 0         , 0.438843  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -12       , 0         , 0         , 0         , 1         , 22.7219   , 45.0684   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.808869  , 0.99997   , 0.838868  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.96607   , 99.9985   , 8.96607   , 99.2188   , 0         , 7.58334   , 15.5      , 1120      , 1140      , 820       , 827.188   , 0         , 574.375   , 365.781   , 826.641   , 1012.81   , 873.047   , 0         , 0.644533  , 0.488283  , 0.566408  , 0.664064  , 0.89844   , 0         , 45        , 45.4922   , 104.906   , 103.805   , 26.9297   , 213.222   , 30.75     , 30.75     , 2.45867   , 36        , 36.75     , 0.83096   , 4.17924   , 0.942382  , 0.732421  , 0.366211  , 0         , 0.442139  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , -12       , 0         , 0         , 0         , 1         , 22.7173   , 45.0211   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.807801  , 0.99997   , 0.8378    , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.94471   , 99.9985   , 8.94471   , 99.2188   , 0         , 7.58334   , 15.9722   , 1120      , 1140      , 820       , 827.188   , 0         , 575.781   , 365.391   , 827.813   , 1014.14   , 874.141   , 0         , 0.664064  , 0.507814  , 0.546876  , 0.664064  , 0.878909  , 0         , 45        , 45.6094   , 104.906   , 103.781   , 26.8828   , 216.034   , 30.75     , 30.75     , 2.54667   , 36        , 36.75     , 0.83096   , 4.18413   , 0.952148  , 0.732421  , 0.366211  , 0         , 0.444886  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , -12       , 0         , 0         , 0         , 1         , 22.7829   , 44.9997   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.8125    , 2         , 0.806733  , 0.99997   , 0.836732  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.96302   , 99.9985   , 8.96302   , 99.2188   , 0         , 7.55556   , 15.2222   , 1120      , 1140      , 820       , 827.188   , 0         , 576.094   , 366.016   , 827.813   , 1009.77   , 870.469   , 0         , 0.664064  , 0.507814  , 0.546876  , 0.664064  , 0.878909  , 0         , 45        , 45.6328   , 104.906   , 103.781   , 26.9297   , 216.034   , 30.75     , 30.75     , 2.424     , 36        , 36.75     , 0.83096   , 4.18413   , 0.927734  , 0.732421  , 0.366211  , 0         , 0.442078  , 0.949982  , 3.52941   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , -12       , 0         , 0         , 0         , 1         , 22.7829   , 44.989    
