
###################################################################################
Logfile created by ME7-Logger v1.20 (c) mki, 12/2010-07/2013

Used EcuDefinition file: my_8D0907551M-5120.ecu

ECU identified with following data:
HWNumber    = 0261207143       (requested was 0261207143)
SWNumber    = 1037360857       (requested was 1037360857)
PartNumber  = 8D0907551M       (requested was 8D0907551M)
SWVersion   = 0002             (requested was 0002)
EngineId    = 2.7l V6/5VT      (requested was 2.7l V6/5VT)
VAGHWNumber = 
ModelId     = G

Log packet size: 129 bytes
Logging with:    20 samples/second
Used speed is:   56000 baud
Used mode is:    HM0
Log started at:  05.06.2022 13:18:09.617

TimeStamp, dwkrz_1   , dwkrz_2   , dwkrz_3   , dwkrz_4   , dwkrz_5   , dwkrz_6   , fho       , flg_m     , fnwue     , fr_w      , fra_w     , frm_w     , fzabg_w_1 , fzabg_w_2 , fzabg_w_3 , fzabgs_w  , gangi     , lamsbg_w  , ldtvm     , mifa_w    , migs_w    , misol_w   , miszul_w  , mrfa_w    , msdk_w    , mshfm_w   , nmot      , nsol      , plsol     , plsol_w   , plsolr_w  , ps_w      , pssol_w   , pus_w     , pvdk_w    , pvdks_w   , rkat_w    , rkrn_w_1  , rkrn_w_2  , rkrn_w_3  , rkrn_w_4  , rkrn_w_5  , rkrn_w_6  , rl        , rl_w      , rlmax_w   , rlmx_w    , rlsol_w   , tabgm_w   , tans      , tanslin   , ti_b1     , tmot      , tmotlin   , udkp1_w   , udkp2_w   , uhfm_w    , upwg1_w   , upwg2_w   , usvk      , usvk2     , vfil_w    , vpssplg_w , vpsspls_w , wdkba     , wkrdya_1  , wkrdya_2  , wkrdya_3  , wkrdya_4  , wkrmdy_w  , wkrmstat_w, wped_w    , wub       , zwout     , B_bl      , B_br      , B_kuppl   , B_lr      , mibas_w   , mimax_w   , mizsolv_w 
  sec.ms , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , -         ,           , -         , -         , -         , -         , #         , #         , #         , #         , gear      , -         , , , , , , , g/s       , g/s       , rpm       , rpm       , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , mbar      , , V         , V         , V         , V         , V         , V         , , , , , , °C        , °C        , °C        , ms        , °C        , °C        , V         , V         , V         , V         , V         , V         , V         , km/h      , -         , -         , DK      , °KW       , °KW       , °KW       , °KW       , °KW       , °KW       , PED     , V         , °KW       ,           ,           ,           ,           ,           , , 
"TIME","IgnitionRetardCyl5","IgnitionRetardCyl3","IgnitionRetardCyl2","IgnitionRetardCyl6","IgnitionRetardCyl4","IgnitionRetardCyl0","AltitudeCorrectionFactor","","","LambdaControl","AdaptationPartial","LambdaControlAvg","CountMisfireCyl5","CountMisfireCyl3","CountMisfireCyl2","CountMisfireTotal","SelectedGear","AirFuelRatioDesired","WastegateDutyCycle","TorqueDesired","","","TorqueForTimingInterventionLimit","DriverRequestedRelTorque","MassAirFlowAtThrottlePlate","MassAirFlow","EngineSpeed","RequestedEngineIdlingSpeed","BoostPressureDesired","BoostPressureDesired","","","","BaroPressure","","BoostPressureActual","AdaptationIdle","KnockVoltageCyl5","KnockVoltageCyl3","KnockVoltageCyl2","KnockVoltageCyl6","KnockVoltageCyl4","KnockVoltageCyl0","EngineLoad_8","EngineLoad","EngineLoadCorrected","EngineLoadSpecified","EngineLoadRequested","EGTModelBeforeCat","IntakeAirTemperature","IntakeAirTemperature","FuelInjectorOnTime","CoolantTemperature","CoolantTemperature","ThrottlePlateSensorG187","ThrottlePlateSensorG188","MAFSensorVoltage","AccelPedalSensorG79","AccelPedalSensorG185","O2SVoltageSensor1","O2SVoltageSensor1Bank2","VehicleSpeed","","","ThrottlePlateAngle","AdaptedIgnitionAngleDynRange2","AdaptedIgnitionAngleDynRange3","AdaptedIgnitionAngleDynRange4","AdaptedIgnitionAngleDynRange5","","","AccelPedalPosition","BatteryVoltage","IgnitionTimingAngleOverall","CondBrakeLightSwitch","CondBrakePedalSwitch","CondClutchPedalSwitch","","","TorqueLimit","TorqueForTimingIntervention"
    0.000, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.06983   , 99.9985   , 9.06983   , 99.2188   , 0         , 9.19445   , 9.16667   , 1120      , 1150      , 800       , 819.609   , 0         , 389.766   , 391.172   , 819.141   , 862.188   , 831.484   , 0         , 0.546876  , 0.410157  , 0.527345  , 0.664064  , 0.703127  , 0         , 26.25     , 26.9766   , 103.805   , 103.805   , 27.0938   , 201.191   , 26.25     , 26.25     , 1.76534   , 34.5      , 35.25     , 0.713648  , 4.28678   , 0.664062  , 0.732421  , 0.366211  , 0.749256  , 0.63451   , 0         , 0.477539  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , 3.75      , 0         , 0         , 0         , 1         , 13.2904   , 44.809    , 9.35059   
    0.050, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.00574   , 99.9985   , 9.00574   , 99.2188   , 0         , 9.22223   , 9.16667   , 1120      , 1140      , 800       , 819.609   , 0         , 388.125   , 388.906   , 820.391   , 861.797   , 831.484   , 0         , 0.527345  , 0.429689  , 0.507814  , 0.683596  , 0.722658  , 0         , 26.25     , 26.8828   , 103.852   , 103.852   , 26.9531   , 201.191   , 26.25     , 26.25     , 1.75734   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.668945  , 0.732421  , 0.366211  , 0.764903  , 0.63451   , 0         , 0.476258  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , 2.25      , 0         , 0         , 0         , 1         , 13.2507   , 44.8243   , 8.88062   
    0.100, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 8.97828   , 99.9985   , 8.97828   , 99.2188   , 0         , 9.30556   , 9.33334   , 1120      , 1140      , 800       , 819.609   , 0         , 388.594   , 388.359   , 820.391   , 862.109   , 831.484   , 0         , 0.527345  , 0.429689  , 0.507814  , 0.683596  , 0.722658  , 0         , 26.25     , 26.9063   , 103.852   , 103.852   , 26.9063   , 201.191   , 26.25     , 26.25     , 1.76267   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.673828  , 0.727539  , 0.366211  , 0.785765  , 0.63451   , 0         , 0.473816  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.7984   , 3         , 0         , 0         , 0         , 1         , 13.2492   , 44.8807   , 9.03016   
    0.150, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.05152   , 99.9985   , 9.05152   , 99.2188   , 0         , 9.22223   , 9.33334   , 1120      , 1140      , 800       , 819.609   , 0         , 389.922   , 390.859   , 819.141   , 862.891   , 831.719   , 0         , 0.546876  , 0.410157  , 0.527345  , 0.703127  , 0.703127  , 0         , 26.25     , 26.9766   , 103.805   , 103.805   , 27.0703   , 201.406   , 26.25     , 26.25     , 1.78934   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.673828  , 0.732421  , 0.366211  , 0.785765  , 0.63451   , 0         , 0.477906  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , 3.75      , 0         , 0         , 0         , 1         , 13.2858   , 44.8044   , 9.24073   
    0.200, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0.00390625, 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.12781   , 99.9985   , 9.12781   , 99.2188   , 0         , 9.22223   , 9.36112   , 1120      , 1140      , 800       , 819.609   , 0         , 391.25    , 393.438   , 819.141   , 863.281   , 831.484   , 0         , 0.546876  , 0.410157  , 0.527345  , 0.703127  , 0.703127  , 0         , 27        , 27.0703   , 103.781   , 103.781   , 27.2578   , 201.406   , 26.25     , 26.25     , 1.77867   , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.678711  , 0.732421  , 0.366211  , 0.790981  , 0.629295  , 0         , 0.479981  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.8688   , 3         , 0         , 0         , 0         , 1         , 13.3194   , 44.7846   , 9.14918   
    0.250, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 18        , 0.00390625, 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.021     , 99.9985   , 9.021     , 99.2188   , 0         , 9.30556   , 9.50001   , 1120      , 1140      , 800       , 819.609   , 0         , 392.188   , 390       , 819.141   , 863.828   , 831.484   , 0         , 0.546876  , 0.429689  , 0.527345  , 0.722658  , 0.683596  , 0         , 27        , 27.1641   , 103.805   , 103.805   , 27        , 201.406   , 26.25     , 26.25     , 1.77867   , 34.5      , 35.25     , 0.713648  , 4.277     , 0.678711  , 0.732421  , 0.366211  , 0.790981  , 0.629295  , 0         , 0.477234  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , 2.25      , 0         , 0         , 0         , 1         , 13.382    , 44.7968   , 9.02711   
    0.300, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 2         , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.06068   , 99.9985   , 9.06068   , 99.2188   , 0         , 9.30556   , 9.22223   , 1120      , 1140      , 800       , 819.609   , 0         , 391.641   , 391.016   , 819.141   , 864.063   , 831.484   , 0         , 0.546876  , 0.429689  , 0.527345  , 0.722658  , 0.683596  , 0         , 27        , 27.1406   , 103.828   , 103.828   , 27.0938   , 201.406   , 26.25     , 26.25     , 1.784     , 34.5      , 35.25     , 0.713648  , 4.28189   , 0.664062  , 0.732421  , 0.366211  , 0.790981  , 0.629295  , 0         , 0.477051  , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , 3         , 0         , 0         , 0         , 1         , 13.3774   , 44.8304   , 9.06678   
    0.350, 0         , 0         , 0         , 0         , 0         , 0         , 0.796875  , 18        , 0         , 0.782593  , 0.99997   , 0.782593  , 0         , 0         , 0         , 0         , 0         , 1         , 0         , 9.06068   , 99.9985   , 9.06068   , 99.2188   , 0         , 9.27779   , 9.1389    , 1120      , 1140      , 800       , 819.609   , 0         , 389.453   , 390.703   , 820.391   , 863.516   , 831.484   , 0         , 0.566408  , 0.410157  , 0.527345  , 0.742189  , 0.664064  , 0         , 26.25     , 26.9531   , 103.828   , 103.828   , 27.0703   , 201.679   , 26.25     , 26.25     , 1.77867   , 34.5      , 35.25     , 0.718536  , 4.28189   , 0.673828  , 0.732421  , 0.366211  , 0.790981  , 0.629295  , 0         , 0.47638   , 0.949982  , 5.09804   , -0        , -0        , -0        , -0        , 0         , 0         , 0         , 13.9392   , 3         , 0         , 0         , 0         , 1         , 13.2904   , 44.8304   , 9.01185   
